¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
Ã»·®¸®(ÁöÇÏ)(158),3/6/2017,½ÂÂ÷,609,838,"2,299","2,811","1,706","1,272","1,613","1,722","1,807","1,961","2,237","2,598","2,491","2,296","1,534",927,746,551,254,15,0,30287
µ¿¹¦¾Õ(159),3/6/2017,½ÂÂ÷,115,157,343,358,267,252,409,561,691,873,866,839,962,925,529,269,288,177,98,8,0,8987
½ÃÃ»(201),3/6/2017,½ÂÂ÷,44,98,251,379,404,656,815,797,"1,008","1,188","1,391","1,633","2,457","6,766","3,852","2,495","2,175","1,342",598,71,0,28420
À»Áö·ÎÀÔ±¸(202),3/6/2017,½ÂÂ÷,113,120,352,665,842,"1,052","1,401","1,543","1,899","2,127","2,423","2,615","3,473","10,242","6,391","4,082","4,706","3,210","1,422",187,0,48865
À»Áö·Î3°¡(203),3/6/2017,½ÂÂ÷,40,85,230,423,500,573,730,776,944,980,"1,217","1,391","1,975","5,748","3,508","2,066","1,981","1,338",532,89,0,25126
À»Áö·Î4°¡(204),3/6/2017,½ÂÂ÷,32,50,123,212,350,441,576,563,674,894,999,"1,127","1,472","3,210","2,148",830,638,378,207,39,0,14963
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(205),3/6/2017,½ÂÂ÷,411,236,359,558,545,500,668,746,794,908,"1,307","1,802","1,599","2,093","1,689","1,102","1,078",947,678,155,1,18176
½Å´ç(206),3/6/2017,½ÂÂ÷,262,566,"1,354","1,910","1,045",716,718,741,786,762,790,"1,015","1,139","1,583","1,091",734,687,469,249,42,0,16659
»ó¿Õ½Ê¸®(207),3/6/2017,½ÂÂ÷,209,609,"1,879","2,437","1,115",704,616,597,595,522,573,660,771,"1,090",839,507,417,307,121,23,0,14591
¿Õ½Ê¸®(¼ºµ¿±¸Ã»)(208),3/6/2017,½ÂÂ÷,320,513,"1,615","2,242","1,175",791,765,804,871,864,992,"1,483","1,724","1,975","1,372","1,223","1,457","1,473",893,179,0,22731
ÇÑ¾ç´ë(209),3/6/2017,½ÂÂ÷,40,118,257,373,267,386,616,634,691,"1,275","1,974","2,320","2,280","1,798","1,109","1,079","1,121",716,333,61,0,17448
¶Ò¼¶(210),3/6/2017,½ÂÂ÷,190,419,"1,346","1,552",884,611,581,594,615,644,727,"1,165","1,224","3,581","2,313","1,064","1,348",911,273,37,0,20079
¼º¼ö(211),3/6/2017,½ÂÂ÷,199,470,"1,296","1,503","1,095",832,832,881,"1,038","1,239","1,372","1,678","2,248","7,637","4,526","2,223","1,836","1,279",475,82,0,32741
°Ç´ëÀÔ±¸(212),3/6/2017,½ÂÂ÷,624,"1,105","3,218","4,811","2,777","1,519","1,464","1,603","1,895","1,861","2,061","2,383","2,740","3,490","2,970","2,659","3,104","3,211","1,744",304,0,45543
±¸ÀÇ(213),3/6/2017,½ÂÂ÷,457,"1,112","3,511","5,120","2,520","1,276",984,"1,075","1,095",972,"1,022","1,117","1,412","2,013","1,083",791,674,588,358,83,0,27263
°­º¯(214),3/6/2017,½ÂÂ÷,460,"1,514","5,138","7,011","4,483","3,176","2,635","2,231","2,272","1,987","2,088","2,297","2,434","3,114","2,416","1,565","1,230","1,019",458,108,0,47636
Àá½Ç³ª·ç(215),3/6/2017,½ÂÂ÷,134,796,"2,838","2,895","1,612","1,094","1,037",925,912,927,"1,031","1,246","1,281","1,575",941,738,564,364,143,35,0,21088
Àá½Ç(216),3/6/2017,½ÂÂ÷,600,"2,356","7,102","9,869","6,250","3,484","3,139","3,007","3,322","3,173","3,721","4,227","5,788","8,133","5,703","3,928","3,941","2,916","1,005",168,0,81832
Àá½Ç»õ³»(217),3/6/2017,½ÂÂ÷,236,927,"3,675","4,353","2,367","1,380","1,264","1,148","1,161","1,041","1,227","1,493","1,532","1,859","1,473","1,271","1,209","1,085",569,108,0,29378
Á¾ÇÕ¿îµ¿Àå(218),3/6/2017,½ÂÂ÷,115,402,"1,293","1,569","1,084",586,502,422,452,468,617,775,784,970,655,452,725,237,84,18,0,12210
»ï¼º(219),3/6/2017,½ÂÂ÷,159,377,991,"1,270","1,095","1,120","1,374","1,661","2,067","2,463","3,421","3,758","5,077","11,795","8,637","5,878","4,869","3,263","1,082",129,0,60486
¼±¸ª(220),3/6/2017,½ÂÂ÷,162,506,"1,244","1,678","1,451","1,493","2,006","2,199","2,620","3,041","4,092","5,357","6,403","12,889","8,269","4,949","5,311","3,745","1,375",196,0,68986
¿ª»ï(221),3/6/2017,½ÂÂ÷,98,361,773,"1,103",978,957,"1,435","1,545","2,132","2,514","3,161","3,473","5,409","13,144","8,002","4,718","4,631","3,225","1,248",239,0,59146
°­³²(222),3/6/2017,½ÂÂ÷,361,809,"2,203","3,722","2,609","2,538","3,192","3,817","5,155","5,049","5,975","6,771","8,455","15,143","11,763","8,806","11,152","10,777","3,625",761,0,112683
±³´ë(223),3/6/2017,½ÂÂ÷,104,586,"1,446","1,933","1,531","1,226","1,565","1,561","2,162","2,341","2,580","2,660","3,783","7,188","4,041","2,831","3,226","3,215",930,173,0,45082
¼­ÃÊ(224),3/6/2017,½ÂÂ÷,61,314,759,"1,109","1,064",783,949,737,"1,016","1,276","1,566","1,913","2,510","4,724","2,238","1,385","1,635","1,138",367,56,0,25600
¹æ¹è(225),3/6/2017,½ÂÂ÷,151,455,"1,645","2,118","1,419",913,972,"1,003","1,214","1,186","1,715","1,844","2,318","3,682","2,183","1,584","1,731","1,123",397,87,0,27740
»ç´ç(226),3/6/2017,½ÂÂ÷,470,"1,042","3,579","4,631","2,841","1,728","1,595","1,746","2,046","2,079","2,266","2,347","2,597","3,862","2,853","2,420","2,707","2,624","1,383",294,0,45110
³«¼º´ë(227),3/6/2017,½ÂÂ÷,464,"1,286","4,864","6,114","3,220","1,423","1,204","1,237","1,230","1,018","1,435","1,289","1,887","2,536","1,626","1,179","1,071",895,462,72,0,34512
¼­¿ï´ëÀÔ±¸(228),3/6/2017,½ÂÂ÷,"1,419","2,138","6,956","8,565","4,687","2,368","2,064","2,199","2,619","2,300","2,761","3,166","3,725","4,404","2,975","2,427","2,406","2,224","1,227",219,0,60849
ºÀÃµ(229),3/6/2017,½ÂÂ÷,662,"1,302","4,065","4,929","2,535","1,280","1,003","1,074","1,169",992,971,"1,108","1,288","1,495",964,613,610,502,181,51,0,26794
½Å¸²(230),3/6/2017,½ÂÂ÷,"1,795","3,512","11,753","15,191","7,480","3,504","2,872","2,920","2,832","2,469","2,615","2,721","3,242","3,668","2,833","2,244","2,141","1,747",981,204,0,76724
½Å´ë¹æ(231),3/6/2017,½ÂÂ÷,989,"1,668","4,908","5,946","3,150","1,593","1,304","1,317","1,265","1,061",948,"1,127","1,239","1,800","1,350",785,616,449,214,47,0,31776
±¸·ÎµðÁöÅÐ´ÜÁö(232),3/6/2017,½ÂÂ÷,"1,615","2,518","7,528","8,520","4,691","2,643","2,232","2,350","2,469","2,224","2,355","2,622","3,724","9,877","7,263","3,831","3,340","2,380","1,174",170,0,73526
´ë¸²(233),3/6/2017,½ÂÂ÷,"1,484","1,596","4,012","4,718","3,044","1,633","1,341","1,513","1,537","1,270","1,317","1,468","1,790","2,873","1,757","1,124",944,629,312,52,0,34414
½Åµµ¸²(234),3/6/2017,½ÂÂ÷,"1,798","2,735","7,832","7,114","4,120","2,548","2,281","2,592","2,810","2,660","2,989","2,995","3,683","6,272","4,238","3,216","3,436","2,222","1,109",190,0,66840
¹®·¡(235),3/6/2017,½ÂÂ÷,185,688,"2,211","2,095","1,136",696,737,808,860,820,967,"1,012","1,572","3,905","2,023","1,067","1,052",636,309,50,0,22829
¿µµîÆ÷±¸Ã»(236),3/6/2017,½ÂÂ÷,251,673,"2,213","2,111","1,295",921,"1,041","1,073","1,005","1,036","1,249","1,575","1,846","4,284","2,066","1,325","1,301",839,349,57,0,26510
´ç»ê(237),3/6/2017,½ÂÂ÷,313,830,"2,772","3,072","1,831","1,220",995,929,932,797,925,972,"1,500","2,819","1,655","1,033",955,764,355,78,0,24747
ÇÕÁ¤(238),3/6/2017,½ÂÂ÷,314,842,"2,476","2,752","1,609","1,166","1,071","1,105","1,318","1,261","1,346","1,471","2,112","4,287","2,922","2,170","2,283","2,211","1,077",178,0,33971
È«´ëÀÔ±¸(239),3/6/2017,½ÂÂ÷,825,"1,310","3,477","4,174","2,496","2,022","2,140","2,293","2,623","2,878","3,523","4,553","5,221","7,033","5,904","5,312","6,603","6,640","3,469",519,0,73015
½ÅÃÌ(240),3/6/2017,½ÂÂ÷,316,706,"1,987","2,634","1,791","1,593","1,935","2,218","2,496","2,565","3,190","3,917","4,581","5,076","3,615","3,493","4,379","4,892","2,262",397,0,54043
ÀÌ´ë(241),3/6/2017,½ÂÂ÷,127,299,902,"1,088",749,615,710,"1,573","1,263","1,164","1,826","2,558","3,057","2,944","1,895","1,601","1,720","1,142",295,45,0,25573
¾ÆÇö(242),3/6/2017,½ÂÂ÷,213,495,"1,269","1,607",867,580,530,520,513,465,548,791,840,874,481,323,344,220,109,18,0,11607
ÃæÁ¤·Î(243),3/6/2017,½ÂÂ÷,139,331,891,"1,188",632,475,513,440,504,548,650,804,943,"2,668","1,163",709,603,424,190,30,0,13845
¿ë´ä(244),3/6/2017,½ÂÂ÷,94,138,482,604,228,139,142,111,133,135,168,143,118,117,78,53,39,28,18,1,0,2969
½Å´ä(245),3/6/2017,½ÂÂ÷,36,60,277,342,104,68,50,66,55,58,42,52,74,52,38,26,9,11,7,2,0,1429
½Å¼³µ¿(246),3/6/2017,½ÂÂ÷,48,47,133,185,138,161,216,254,259,296,306,290,403,667,325,167,141,123,42,3,0,4204
µµ¸²Ãµ(247),3/6/2017,½ÂÂ÷,14,54,142,123,66,41,27,56,37,50,211,71,99,142,64,56,51,16,1,1,0,1322
¾çÃµ±¸Ã»(248),3/6/2017,½ÂÂ÷,210,587,"1,719","1,422",838,482,400,356,343,270,286,337,349,363,166,132,116,105,47,5,0,8533
½ÅÁ¤³×°Å¸®(249),3/6/2017,½ÂÂ÷,372,811,"2,331","1,963",988,575,493,451,432,381,342,406,462,465,322,212,179,152,61,10,1,11409
¿ëµÎ(250),3/6/2017,½ÂÂ÷,40,68,253,334,142,119,141,146,156,162,167,161,174,243,121,80,64,44,14,1,0,2630
ÁöÃà(309),3/6/2017,½ÂÂ÷,12,49,177,218,119,63,37,41,36,41,49,60,44,61,33,10,7,3,4,1,0,1065
±¸ÆÄ¹ß(310),3/6/2017,½ÂÂ÷,363,"1,478","4,345","3,406","1,768",994,791,749,778,680,950,975,"1,219","1,219",768,540,497,468,164,13,0,22165
¿¬½Å³»(311),3/6/2017,½ÂÂ÷,"1,084","2,613","7,568","7,984","3,927","2,377","2,077","2,109","2,074","1,744","1,841","2,550","2,401","2,161","1,497","1,108","1,086",786,457,85,0,47529
ºÒ±¤(312),3/6/2017,½ÂÂ÷,402,993,"3,189","3,358","1,668",965,943,906,974,896,947,"1,100","1,190","1,429",847,641,593,449,174,28,0,21692
³ì¹ø(313),3/6/2017,½ÂÂ÷,358,885,"2,749","2,769","1,391",812,664,619,565,558,499,509,700,791,437,279,273,184,85,7,0,15134
È«Á¦(314),3/6/2017,½ÂÂ÷,368,"1,137","3,472","3,593","1,899","1,308","1,170","1,077","1,038",950,"1,169","1,391","1,343","1,497",856,566,504,330,159,27,0,23854
¹«¾ÇÀç(315),3/6/2017,½ÂÂ÷,79,294,848,862,437,282,209,195,193,172,163,168,210,217,133,105,119,61,22,6,0,4775
µ¶¸³¹®(316),3/6/2017,½ÂÂ÷,225,281,847,946,528,428,410,393,393,427,484,800,559,661,352,228,188,137,56,12,0,8355
°æº¹±Ã(317),3/6/2017,½ÂÂ÷,104,285,752,"1,076",897,657,822,811,"1,193","1,356","1,847","2,440","2,394","4,482","2,138","1,713","1,754","1,124",378,47,0,26270
¾È±¹(318),3/6/2017,½ÂÂ÷,81,152,353,443,488,430,905,"1,196","1,345","1,628","1,810","2,753","2,858","5,778","2,790","1,793","1,984","1,219",353,46,0,28405
Á¾·Î3°¡(319),3/6/2017,½ÂÂ÷,22,38,61,96,122,259,335,349,394,459,633,674,939,"1,730","1,955",883,846,495,208,33,0,10531
À»Áö·Î3°¡(320),3/6/2017,½ÂÂ÷,9,31,68,125,220,254,282,349,461,476,578,550,995,"2,680","1,699",893,816,516,221,40,0,11263
µ¿´ëÀÔ±¸(322),3/6/2017,½ÂÂ÷,49,134,306,367,268,321,387,385,546,753,879,"1,261","1,382","2,225","1,394",963,"1,131",556,219,43,0,13569
¾à¼ö(323),3/6/2017,½ÂÂ÷,250,523,"1,557","2,009","1,204",733,743,741,743,634,730,939,"1,045","1,480","1,046",709,689,531,201,34,0,16541
±ÝÈ£(324),3/6/2017,½ÂÂ÷,162,525,"1,515","1,884","1,010",598,488,437,367,343,333,370,406,426,299,202,178,127,60,12,0,9742
¿Á¼ö(325),3/6/2017,½ÂÂ÷,120,463,"1,438","1,734","1,003",543,519,496,514,364,464,543,627,717,508,354,306,240,93,11,0,11057
¾Ð±¸Á¤(326),3/6/2017,½ÂÂ÷,131,393,892,"1,390",950,"1,045","1,338","1,342","1,520","1,914","2,358","2,282","2,968","5,365","4,612","2,493","2,196","1,977",579,69,0,35814
½Å»ç(327),3/6/2017,½ÂÂ÷,133,264,657,959,676,747,924,"1,031","1,256","1,513","1,682","1,921","2,431","5,351","4,569","2,674","2,798","2,267",929,105,0,32887
Àá¿ø(328),3/6/2017,½ÂÂ÷,72,297,"1,066","1,121",624,369,347,269,276,265,338,382,454,438,330,210,171,118,42,4,0,7193
°í¼ÓÅÍ¹Ì³Î(329),3/6/2017,½ÂÂ÷,313,427,"1,749","2,726","2,458","2,091","2,375","2,666","3,080","3,209","3,536","4,078","4,390","5,032","4,277","4,614","3,059","2,081",699,117,0,52977
±³´ë(330),3/6/2017,½ÂÂ÷,29,151,423,548,428,455,624,647,971,"1,006","1,120","1,139","1,646","3,022","1,594","1,192","1,312","1,559",363,57,0,18286
³²ºÎÅÍ¹Ì³Î(331),3/6/2017,½ÂÂ÷,113,368,"1,563","2,230","1,631","1,519","1,538","1,560","1,658","1,657","1,844","2,032","3,012","6,701","3,668","2,275","2,079","1,416",482,68,0,37414
¾çÀç(332),3/6/2017,½ÂÂ÷,202,650,"1,942","2,233","1,531","1,286","1,430","1,477","1,822","1,892","2,429","2,596","4,561","9,090","5,273","3,476","3,218","2,467",843,94,0,48512
¸ÅºÀ(333),3/6/2017,½ÂÂ÷,72,291,869,964,642,490,520,445,506,568,662,760,"1,149","2,856","1,445",789,799,507,193,25,0,14552
µµ°î(334),3/6/2017,½ÂÂ÷,54,235,741,847,473,338,329,304,316,326,455,638,713,"1,025",643,392,356,226,67,8,0,8486
´ëÄ¡(335),3/6/2017,½ÂÂ÷,133,648,"1,611","1,485",900,567,512,482,522,416,588,742,819,957,920,590,757,"1,284",204,24,0,14161
ÇÐ¿©¿ï(336),3/6/2017,½ÂÂ÷,27,86,267,238,177,112,90,79,99,92,108,122,143,263,116,77,75,77,15,1,0,2264
´ëÃ»(337),3/6/2017,½ÂÂ÷,139,498,"1,511","1,491",771,501,446,450,428,400,467,"1,110",928,"1,405",651,423,389,222,98,7,0,12335
ÀÏ¿ø(338),3/6/2017,½ÂÂ÷,91,406,"1,269","1,015",670,541,649,547,539,728,706,958,"1,096",698,392,335,193,135,41,8,0,11017
¼ö¼­(339),3/6/2017,½ÂÂ÷,193,627,"1,822","2,062","1,063",940,725,838,842,738,806,"1,182","1,227","1,841",962,743,547,497,194,25,0,17874
°¡¶ô½ÃÀå(340),3/6/2017,½ÂÂ÷,123,359,"1,210","1,210",746,603,552,462,486,521,513,591,705,"1,038",638,449,452,321,129,20,0,11128
°æÂûº´¿ø(341),3/6/2017,½ÂÂ÷,116,370,"1,210","1,225",657,494,442,354,429,422,427,441,538,"1,090",420,282,274,183,45,3,0,9422
¿À±Ý(342),3/6/2017,½ÂÂ÷,137,413,"1,387","1,461",753,405,336,291,288,234,228,295,393,659,301,194,168,168,70,7,0,8188
´ç°í°³(409),3/6/2017,½ÂÂ÷,386,888,"2,673","2,426","1,271",832,739,627,660,606,567,527,666,674,456,245,177,188,73,19,0,14700
»ó°è(410),3/6/2017,½ÂÂ÷,641,"2,067","5,271","4,104","2,077","1,181","1,100",942,993,762,960,921,880,930,679,420,388,389,161,26,0,24892
³ë¿ø(411),3/6/2017,½ÂÂ÷,492,"1,329","2,981","2,857","1,587","1,081","1,110","1,113","1,077",992,"1,080","1,220","1,262","1,434","1,011",941,"1,043","1,208",503,104,0,24425
Ã¢µ¿(412),3/6/2017,½ÂÂ÷,756,"2,093","5,743","4,384","2,486","1,638","1,494","1,459","1,409","1,229","1,530","1,583","1,780","1,853","1,149",816,824,703,307,72,0,33308
½Ö¹®(413),3/6/2017,½ÂÂ÷,"1,016","2,709","7,446","6,881","3,565","1,978","1,713","1,565","1,485","1,211","1,218","1,338","1,514","1,578","1,100",678,555,458,218,37,0,38263
¼öÀ¯(°­ºÏ±¸Ã»)(414),3/6/2017,½ÂÂ÷,932,"2,683","8,126","7,558","3,998","2,591","2,212","2,277","2,238","2,085","2,196","2,350","2,944","3,050","1,993","1,384","1,331",921,506,97,0,51472
¹Ì¾Æ(415),3/6/2017,½ÂÂ÷,503,"1,122","3,474","3,266","1,678","1,052",982,893,900,941,"1,229","1,214","1,144","1,329",806,543,514,578,134,27,0,22329
¹Ì¾Æ»ç°Å¸®(416),3/6/2017,½ÂÂ÷,599,"1,906","5,635","5,455","2,761","1,609","1,457","1,417","1,474","1,369","1,337","1,701","1,798","1,784","1,432",991,862,604,355,65,0,34611
±æÀ½(417),3/6/2017,½ÂÂ÷,487,"1,806","5,281","4,981","2,506","1,448","1,226","1,248","1,232","1,158","1,434","1,792","2,106","2,167","1,269",858,733,717,294,44,0,32787
¼º½Å¿©´ëÀÔ±¸(418),3/6/2017,½ÂÂ÷,261,"1,006","3,142","3,104","1,865","1,293","1,236","1,262","1,388","1,400","1,612","2,276","2,463","2,430","1,699","1,506","1,684","1,407",608,103,0,31745
ÇÑ¼º´ëÀÔ±¸(419),3/6/2017,½ÂÂ÷,333,714,"1,900","1,928","1,195",805,788,764,872,978,"1,197","1,659","1,416","1,480","1,094",917,"1,081",792,337,70,0,20320
ÇýÈ­(420),3/6/2017,½ÂÂ÷,119,390,874,"1,140","1,214","1,410","1,580","1,670","1,775","2,186","2,769","3,282","3,944","5,145","3,242","2,788","3,224","2,965","1,696",257,0,41670
µ¿´ë¹®(421),3/6/2017,½ÂÂ÷,377,181,236,369,608,895,"1,210","1,492","1,687","2,064","2,580","2,633","3,852","4,266","2,129","1,298","1,134",999,570,72,0,28652
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(422),3/6/2017,½ÂÂ÷,427,265,334,530,552,620,681,771,885,"1,070","1,406","1,495","2,065","3,688","2,634","1,915","1,791","1,543",963,228,0,23863
Ãæ¹«·Î(423),3/6/2017,½ÂÂ÷,85,187,445,667,764,"1,054","1,104","1,165","1,506","1,842","2,234","2,779","3,543","7,747","5,201","3,126","3,236","2,560","1,439",223,0,40907
¸íµ¿(424),3/6/2017,½ÂÂ÷,53,134,279,462,969,"1,387","1,384","1,285","1,721","2,404","2,863","3,040","3,328","6,286","4,726","3,895","3,944","3,346","1,480",128,0,43114
È¸Çö(425),3/6/2017,½ÂÂ÷,95,129,286,410,598,985,"1,248","1,539","2,245","2,651","3,080","3,438","4,505","5,720","3,398","2,546","1,569",898,363,59,0,35762
¼­¿ï¿ª(426),3/6/2017,½ÂÂ÷,204,244,498,718,550,468,587,545,543,508,587,615,984,"2,672","1,526",852,975,503,266,26,0,13871
¼÷´ëÀÔ±¸(427),3/6/2017,½ÂÂ÷,124,355,959,"1,288",859,704,793,759,845,"1,044","1,217","2,305","2,368","2,996","1,770","1,136","1,273",954,401,83,0,22233
»ï°¢Áö(428),3/6/2017,½ÂÂ÷,25,93,287,422,226,174,216,189,247,234,243,300,459,"1,005",637,401,320,263,77,14,0,5832
½Å¿ë»ê(429),3/6/2017,½ÂÂ÷,46,161,555,643,483,350,455,445,487,485,544,831,"1,382","2,737","1,759","1,131",830,445,253,38,0,14060
ÀÌÃÌ(430),3/6/2017,½ÂÂ÷,58,271,785,911,539,355,335,329,350,382,401,726,774,"1,084",471,341,299,210,72,6,0,8699
µ¿ÀÛ(431),3/6/2017,½ÂÂ÷,16,88,284,314,216,136,138,120,116,106,118,129,173,296,156,75,78,61,19,7,0,2646
ÃÑ½Å´ëÀÔ±¸(432),3/6/2017,½ÂÂ÷,259,876,"2,746","3,212","1,817","1,100","1,120",989,"1,047","1,100","1,043","1,305","1,321","1,922","1,230","1,090","1,206",916,399,44,0,24742
»ç´ç(433),3/6/2017,½ÂÂ÷,464,"1,275","4,133","4,757","2,893","1,695","1,590","1,484","1,457","1,362","1,403","1,576","1,690","2,099","1,474","1,229","1,402","1,170",559,79,0,33791
³²ÅÂ·É(434),3/6/2017,½ÂÂ÷,25,33,265,363,169,80,71,53,53,45,254,76,164,248,100,32,15,6,3,0,0,2055
¼­¿ï¿ª(150),3/7/2017,½ÂÂ÷,430,517,"1,759","3,332","2,167","2,342","2,819","2,905","2,871","2,480","3,332","3,454","5,001","9,303","5,468","3,493","3,427","2,143","1,139",185,0,58567
½ÃÃ»(151),3/7/2017,½ÂÂ÷,80,128,336,408,463,668,772,927,"1,081","1,268","1,602","1,850","2,518","5,843","3,303","2,209","2,402","1,554",555,45,0,28012
Á¾°¢(152),3/7/2017,½ÂÂ÷,110,160,364,583,646,903,"1,374","1,587","2,111","2,356","2,719","2,817","4,317","9,812","6,142","4,527","5,442","4,395","1,649",119,0,52133
Á¾·Î3°¡(153),3/7/2017,½ÂÂ÷,162,125,275,487,569,881,"1,399","1,772","2,222","2,449","2,858","3,222","3,182","4,672","3,813","2,409","2,966","2,368",920,91,0,36842
Á¾·Î5°¡(154),3/7/2017,½ÂÂ÷,83,123,240,393,470,750,"1,084","1,501","1,783","2,056","2,191","2,297","2,914","5,176","3,134","1,895","1,694","1,172",485,44,0,29485
µ¿´ë¹®(155),3/7/2017,½ÂÂ÷,559,504,860,"1,055",847,737,692,882,"1,003","1,015","1,046","1,015","1,067","1,249","1,075",678,674,586,311,58,0,15913
½Å¼³µ¿(156),3/7/2017,½ÂÂ÷,317,437,989,"1,209",823,684,767,863,978,"1,008","1,057","1,201","1,517","2,681","1,437",683,711,486,220,24,0,18092
Á¦±âµ¿(157),3/7/2017,½ÂÂ÷,168,350,"1,121","1,461",860,908,"1,230","1,226","1,470","1,894","1,971","2,101","1,709","1,819","1,019",591,544,312,157,5,0,20916
Ã»·®¸®(ÁöÇÏ)(158),3/7/2017,½ÂÂ÷,497,749,"2,194","2,880","1,729","1,272","1,439","1,539","1,736","1,884","2,238","2,604","2,476","2,342","1,655","1,142",946,681,305,21,0,30329
µ¿¹¦¾Õ(159),3/7/2017,½ÂÂ÷,134,146,337,379,284,286,336,570,857,891,930,904,963,931,527,311,269,185,111,3,0,9354
½ÃÃ»(201),3/7/2017,½ÂÂ÷,54,112,268,384,490,736,815,898,"1,082","1,176","1,525","1,775","2,587","6,947","3,681","2,306","2,362","1,547",672,68,0,29485
À»Áö·ÎÀÔ±¸(202),3/7/2017,½ÂÂ÷,116,134,351,680,820,"1,171","1,366","1,658","2,072","2,420","2,848","2,980","4,261","11,013","6,967","6,012","4,994","3,293","1,664",289,0,55109
À»Áö·Î3°¡(203),3/7/2017,½ÂÂ÷,41,89,221,450,619,623,789,682,992,"1,079","1,098","1,352","2,125","5,743","3,417","2,044","1,901","1,352",550,117,0,25284
À»Áö·Î4°¡(204),3/7/2017,½ÂÂ÷,29,54,103,263,415,454,628,676,752,823,"1,023","1,129","1,515","3,137","2,082",898,688,442,272,45,0,15428
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(205),3/7/2017,½ÂÂ÷,387,241,370,522,583,547,590,725,887,898,"1,258","1,743","1,580","2,213","1,660","1,183","1,111","1,020",650,163,0,18331
½Å´ç(206),3/7/2017,½ÂÂ÷,240,559,"1,339","1,992","1,079",677,726,707,798,760,810,"1,117","1,225","1,604","1,125",772,707,550,305,45,0,17137
»ó¿Õ½Ê¸®(207),3/7/2017,½ÂÂ÷,203,589,"1,829","2,569","1,193",713,628,580,591,505,535,689,831,"1,157",814,445,475,291,138,29,1,14805
¿Õ½Ê¸®(¼ºµ¿±¸Ã»)(208),3/7/2017,½ÂÂ÷,299,539,"1,518","2,298","1,295",752,727,783,939,821,982,"1,506","1,868","2,057","1,383","1,262","1,461","1,560",974,175,0,23199
ÇÑ¾ç´ë(209),3/7/2017,½ÂÂ÷,40,107,277,364,286,354,527,631,731,"1,278","1,809","2,658","2,446","1,875","1,047","1,213","1,191",739,336,66,0,17975
¶Ò¼¶(210),3/7/2017,½ÂÂ÷,168,436,"1,305","1,706",862,653,625,568,707,729,712,"1,068","1,276","3,675","2,083","1,002","1,368",843,347,42,2,20177
¼º¼ö(211),3/7/2017,½ÂÂ÷,205,499,"1,300","1,574","1,074",874,870,952,"1,066","1,215","1,339","1,867","2,300","7,496","4,344","2,058","2,052","1,213",500,92,0,32890
°Ç´ëÀÔ±¸(212),3/7/2017,½ÂÂ÷,563,"1,011","3,156","5,023","2,901","1,585","1,430","1,648","1,758","1,765","2,062","2,329","2,845","3,545","2,949","2,826","3,330","3,309","1,945",410,0,46390
±¸ÀÇ(213),3/7/2017,½ÂÂ÷,463,"1,113","3,544","5,261","2,601","1,284","1,034","1,037","1,113",994,957,"1,051","1,435","1,868","1,102",819,741,687,325,73,0,27502
°­º¯(214),3/7/2017,½ÂÂ÷,400,"1,292","4,805","6,995","4,317","2,878","2,392","2,121","1,932","1,986","2,002","2,195","2,658","2,995","2,175","1,485","1,195","1,151",446,91,0,45511
Àá½Ç³ª·ç(215),3/7/2017,½ÂÂ÷,106,733,"2,765","2,992","1,613","1,176",982,973,868,926,"1,063","1,241","1,286","1,612",868,721,621,329,146,20,0,21041
Àá½Ç(216),3/7/2017,½ÂÂ÷,513,"2,195","7,064","9,864","6,522","3,574","3,177","3,055","3,469","3,349","3,783","4,209","6,168","8,301","6,007","5,144","4,166","3,626","1,125",154,0,85465
Àá½Ç»õ³»(217),3/7/2017,½ÂÂ÷,225,920,"3,568","4,449","2,406","1,409","1,205","1,109","1,153","1,033","1,085","1,518","1,578","2,015","1,487","1,212","1,321","1,175",660,149,0,29677
Á¾ÇÕ¿îµ¿Àå(218),3/7/2017,½ÂÂ÷,89,373,"1,264","1,688","1,083",569,521,487,494,508,428,883,743,"1,013",648,443,702,207,95,15,0,12253
»ï¼º(219),3/7/2017,½ÂÂ÷,191,381,997,"1,362","1,218","1,128","1,470","1,573","2,052","2,439","3,067","3,804","5,277","11,941","8,190","5,679","5,158","3,699","1,140",193,0,60959
¼±¸ª(220),3/7/2017,½ÂÂ÷,223,536,"1,261","1,829","1,627","1,741","2,095","2,192","2,685","2,922","4,290","5,041","6,623","12,812","7,919","4,771","5,383","3,656","1,447",245,0,69298
¿ª»ï(221),3/7/2017,½ÂÂ÷,155,379,740,"1,230","1,030","1,087","1,419","1,706","2,190","2,290","3,117","3,673","5,474","13,111","7,869","4,589","4,656","3,557","1,315",243,0,59830
°­³²(222),3/7/2017,½ÂÂ÷,436,776,"2,335","3,561","2,665","2,416","3,096","3,779","5,108","4,964","5,921","6,763","8,531","14,881","11,335","8,766","11,475","11,472","4,164",812,5,113261
