"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"대월면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 대월면 사동로 1-10,경기도 이천시 대월면 초지리 220,경기도 이천시청,031-644-2306,37.2296675,127.4925107,2018-03-03
"모가면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 모가면 진상미로 1295,경기도 이천시 모가면 진가리 114-6,경기도 이천시청,031-644-2306,37.1718448,127.4801234,2018-03-03
"설성면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 설성면 설장로17번길 6-5,경기도 이천시 설성면 금당리 126-1,경기도 이천시청,031-644-2306,37.132348,127.521908,2018-03-03
"율면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 율면 고당로 132,경기도 이천시 율면 고당리 241-5,경기도 이천시청,031-644-2306,37.0942688,127.5462928,2018-03-03
"창전동 행정복지센터",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 영창로163번길 22,경기도 이천시 창전동 420-9,경기도 이천시청,031-644-2306,37.2827407,127.4411533,2018-03-03
"증포동 주민센터",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 증신로6번길 15,경기도 이천시 증포동 182-5,경기도 이천시청,031-644-2306,37.2903021,127.4526549,2018-03-03
"중리동 주민센터",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 부악로 4,경기도 이천시 중리동 312-15,경기도 이천시청,031-644-2306,37.2761092,127.4362666,2018-03-03
"관고동 주민센터",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 설봉로 65,경기도 이천시 관고동 38-1,경기도 이천시청,031-644-2306,37.282275,127.437937,2018-03-03
"이천시 보건소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 증신로153번길 13,경기도 이천시 증포동 152-2,경기도 이천시청,031-644-2306,37.288799,127.452241,2018-03-03
"차량등록사업소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 경충대로 2603,경기도 이천시 중리동 111-1,경기도 이천시청,031-644-2306,37.2748833,127.4437123,2018-03-03
"이천시청 1층",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 부악로 40 이천시청,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716022,127.4343015,2018-03-03
"이천시청 2층",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 부악로 40 이천시청,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716022,127.4343015,2018-03-03
"이천시청 4층",기자실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 부악로 40 이천시청,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716022,127.4343015,2018-03-03
"마장면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 마장면 오천로 107,경기도 이천시 마장면 오천리 62-4,경기도 이천시청,031-644-2306,37.2488539,127.3579404,2018-03-03
"설성면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 설성면 설장로17번길 6-5이천시 설성면 금당리 126-1,경기도 이천시 금당리 126-1,경기도 이천시청,031-644-2306,37.1323629,127.5219955,2018-03-03
"증포동",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 증산서길 89,경기도 이천시 증포동 182-5,경기도 이천시청,031-644-2306,37.2903627,127.452705,2018-03-03
"이천차량등록사업소",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 경충대로 2603,경기도 이천시 중리동 111-1,경기도 이천시청,031-644-2306,37.2745083,127.4441087,2018-03-03
"신둔면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 신둔면 경충대로 3128,경기도 이천시 신둔면 수광리 153-1,경기도 이천시청,031-644-2306,37.3061281,127.4038858,2018-03-03
"마장면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 마장면 오천로 107,경기도 이천시 마장면 오천리 62-1,경기도 이천시청,031-644-2306,37.2487717,127.3578887,2018-03-03
"이천시립도서관",도서관내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 설봉로81번길 50,경기도 이천시 창전동 335-9,경기도 이천시청,031-644-2306,37.2869883,127.436649,2018-03-03
"이천시청",본청내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 부악로 40,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716901,127.4343599,2018-03-03
"이천시의회",시의회내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 부악로 40,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716901,127.4343599,2018-03-03
"이천아트홀",아트홀내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 부악로 40,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716901,127.4343599,2018-03-03
"장호원읍",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 장호원읍 서동대로 8844-6,경기도 이천시 장호원읍 진암리 17-21,경기도 이천시청,031-644-2306,37.1149336,127.6171382,2018-03-03
"부발읍",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 부발읍 무촌로 121,경기도 이천시 부발읍 무촌리 168-9,경기도 이천시청,031-644-2306,37.2836022,127.4869944,2018-03-03
"신둔면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 신둔면 경충대로 3128,경기도 이천시 신둔면 수광리 153-1,경기도 이천시청,031-644-2306,37.3062135,127.403936,2018-03-03
"백사면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 백사면 현방로 65,경기도 이천시 백사면 현방리 87-7,경기도 이천시청,031-644-2306,37.3390754,127.4907603,2018-03-03
"호법면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 호법면 이섭대천로527번길 27,경기도 이천시 호법면 후안리 246,경기도 이천시청,031-644-2306,37.2229896,127.424706,2018-03-03
"대월면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 대월면 사동로 1-10,경기도 이천시 대월면 초지리 220,경기도 이천시청,031-644-2306,37.2297298,127.4925523,2018-03-03
"모가면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 모가면 진상미로 1295,경기도 이천시 모가면 진가리 114-6,경기도 이천시청,031-644-2306,37.1715983,127.4802034,2018-03-03
"율면",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 율면 고당로 132,경기도 이천시 율면 고당리 241-22,경기도 이천시청,031-644-2306,37.0943477,127.5463503,2018-03-03
"창전동",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 영창로163번길 22,경기도 이천시 창전동 420-9,경기도 이천시청,031-644-2306,37.2828122,127.4412031,2018-03-03
"중리동",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 서희로 27,경기도 이천시 중리동 187,경기도 이천시청,031-644-2306,37.2780441,127.4411617,2018-03-03
"관고동",민원실,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 설봉로 65,경기도 이천시 관고동 38-1,경기도 이천시청,031-644-2306,37.282352,127.4379934,2018-03-03
"이천시립청미도서관",도서관내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 장호원읍 서동대로8829번길 53-6,경기도 이천시 장호원읍 장호원리 371,경기도 이천시청,031-644-2306,37.1170769,127.6152878,2018-03-03
"이천공설운동장",공설운동장내,경기도,이천시,지역문화시설,KT,Olleh WiFi,2010-12,경기도 이천시 서희로 7-14,경기도 이천시 중리동 449,경기도 이천시청,031-644-2306,37.2769134,127.4408981,2018-03-03
"이천농업기술센터",센터내,경기도,이천시,관공서,KT,Olleh WiFi,2010-12,경기도 이천시 부악로 38-52,경기도 이천시 중리동 386-1,경기도 이천시청,031-644-2306,37.2724244,127.4326052,2018-03-03
"이천종합복지타운",민원실,경기도,이천시,관공서,LGU+,Public WiFi Free,2013-09,경기도 이천시 남천로 31,경기도 이천시 중리동 187,경기도 이천시청,031-644-2306,37.2780441,127.4411617,2018-03-03
"이천시청",민원실,경기도,이천시,관공서,SKT,Public WiFi Free,2013-10,경기도 이천시 부악로 40,경기도 이천시 중리동 490,경기도 이천시청,031-644-2306,37.2716901,127.4343599,2018-03-03
"장호원 재래시장",시장,경기도,이천시,지역문화시설,SKT,Public WiFi Free,2013-10,경기도 이천시 장호원읍 서동대로 8965번길 36,경기도 이천시 장호원읍 오남리 3-1,경기도 이천시청,031-644-2306,37.1146803,127.6310291,2018-03-03
"이천도예촌",시장,경기도,이천시,지역문화시설,SKT,Public WiFi Free,2013-10,경기도 이천시 경충대로 2993번길 24 (사음동),경기도 이천시 사음동 536,경기도 이천시청,031-644-2306,37.2948187,127.4119005,2018-03-03
"모가 보건지소",민원실,경기도,이천시,관공서,SKT,Public WiFi Free,2013-10,경기도 이천시 모가면 대월로 63번길 46,경기도 이천시 모가면 진가1리 106,경기도 이천시청,031-644-2306,37.1763108,127.4850662,2018-03-03
"도암 보건긴료소",민원실,경기도,이천시,관공서,SKT,Public WiFi Free,2013-01,경기도 이천시 신둔면 원적로 425,경기도 이천시 신둔면 도암2리 312-1,경기도 이천시청,031-644-2306,37.3346785,127.4345192,2018-03-03
"이천시립도서관",도서관내,경기도,이천시,관공서,LGU+,Public WiFi Free,2013-12,경기도 이천시 설봉로 81번길 50,경기도 이천시 창전동 335-9,경기도 이천시청,031-644-2306,37.2869883,127.436649,2018-03-03
"장호원읍사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 장호원읍 서동대로 8844-6,경기도 이천시 장호원읍 진암리 17-21,경기도 이천시청,031-644-2306,37.1148544,127.6170856,2018-03-03
"부발읍 행정복지센터",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 부발읍 무촌로 121,경기도 이천시 부발읍 무촌리 168-8,경기도 이천시청,031-644-2306,37.2835263,127.486962,2018-03-03
"백사면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 백사면 현방로 65,경기도 이천시 백사면 현방리 87-7,경기도 이천시청,031-644-2306,37.3389864,127.490703,2018-03-03
"호법면사무소",민원실,경기도,이천시,관공서,KT,Public WiFi Free,2017-05,경기도 이천시 호법면 이섭대천로527번길 27,경기도 이천시 호법면 후안리 239-1,경기도 이천시청,031-644-2306,37.2229185,127.4246611,2018-03-03
