연번,영업장면적,업태명,,,,,,감성주점
204,28,한식,,,,,,
205,38.11,한식,,,,,,
206,26.4,한식,,,,,,
207,75.8,한식,,,,,,
208,38.16,한식,,,,,,
209,43.54,한식,,,,,,
210,45.65,한식,,,,,,
211,33.3,한식,,,,,,
212,23.9,한식,,,,,,
213,57.72,중국식,,,,,,
214,59.04,한식,,,,,,
215,40,한식,,,,,,
216,29.5,한식,,,,,,
217,127.26,한식,,,,,,
218,99,호프/통닭,,,,,,
219,125.4,한식,,,,,,
220,68,회집,,,,,,
221,99,복어취급,,,,,,
222,208.35,한식,,,,,,
223,40,까페,,,,,,
224,36.43,탕류(보신용),,,,,,
225,132,식육(숯불구이),,,,,,
226,86.57,한식,,,,,,
227,45.24,호프/통닭,,,,,,
228,28.86,한식,,,,,,
229,114.39,한식,,,,,,
230,23.32,한식,,,,,,
231,36.93,한식,,,,,,
232,104.42,한식,,,,,,
233,57.66,중국식,,,,,,
234,142.74,경양식,,,,,,
235,189,한식,,,,,,
236,21.67,한식,,,,,,
237,44.26,일식,,,,,,
238,72.8,한식,,,,,,
239,80,한식,,,,,,
240,46,한식,,,,,,
241,25.5,한식,,,,,,
242,132,한식,,,,,,
243,141,한식,,,,,,
244,116,한식,,,,,,
245,91.7,한식,,,,,,
246,109.06,한식,,,,,,
247,78.29,경양식,,,,,,
248,35.6,한식,,,,,,
249,49.5,한식,,,,,,
250,267.02,한식,,,,,,
251,229.39,경양식,,,,,,
252,105.61,한식,,,,,,
253,807.5,한식,,,,,,
254,187.9,경양식,,,,,,
255,64.4,기타,,,,,,
256,94.23,한식,,,,,,
257,235.35,한식,,,,,,
258,40,한식,,,,,,
259,96.76,한식,,,,,,
260,218.9,한식,,,,,,
261,16.9,한식,,,,,,
262,64.8,회집,,,,,,
263,45.44,한식,,,,,,
264,44.64,한식,,,,,,
265,15.53,호프/통닭,,,,,,
266,60,한식,,,,,,
267,0,한식,,,,,,
268,74.24,한식,,,,,,
269,26.52,한식,,,,,,
270,57.15,호프/통닭,,,,,,
271,105.32,한식,,,,,,
272,44.24,한식,,,,,,
273,86,한식,,,,,,
274,90,까페,,,,,,
275,165,한식,,,,,,
276,34.1,회집,,,,,,
277,40.47,한식,,,,,,
278,121.2,한식,,,,,,
279,32,한식,,,,,,
280,63,까페,,,,,,
281,155.56,한식,,,,,,
282,67.32,한식,,,,,,
283,148.38,한식,,,,,,
284,110.56,회집,,,,,,
285,82.83,한식,,,,,,
286,82.83,한식,,,,,,
287,85,호프/통닭,,,,,,
288,191.52,한식,,,,,,
289,30.16,한식,,,,,,
290,97.2,한식,,,,,,
291,106.75,한식,,,,,,
292,30,까페,,,,,,
293,0,한식,,,,,,
294,34,한식,,,,,,
295,62.24,한식,,,,,,
296,74.4,한식,,,,,,
297,29.58,통닭(치킨),,,,,,
298,50.44,한식,,,,,,
299,66,한식,,,,,,
300,40.2,한식,,,,,,
301,20,한식,,,,,,
302,105.7,까페,,,,,,
303,140,한식,,,,,,
304,89,한식,,,,,,
305,38,한식,,,,,,
306,26.5,한식,,,,,,
307,49.7,한식,,,,,,
308,31.92,호프/통닭,,,,,,
309,57,호프/통닭,,,,,,
310,48.96,까페,,,,,,
311,169.68,회집,,,,,,
312,198.35,한식,,,,,,
313,94,한식,,,,,,
314,96,한식,,,,,,
315,36,중국식,,,,,,
316,308.4,한식,,,,,,
317,145.8,한식,,,,,,
318,261.08,한식,,,,,,
319,52.9,통닭(치킨),,,,,,
320,83.63,식육(숯불구이),,,,,,
321,21,한식,,,,,,
322,18.9,한식,,,,,,
323,28,한식,,,,,,
324,19.6,호프/통닭,,,,,,
325,139.2,식육(숯불구이),,,,,,
326,74.53,한식,,,,,,
327,36,한식,,,,,,
328,94.5,호프/통닭,,,,,,
329,268.8,식육(숯불구이),,,,,,
330,28,한식,,,,,,
331,57.75,한식,,,,,,
332,60.2,한식,,,,,,
333,39.9,통닭(치킨),,,,,,
334,35,한식,,,,,,
335,301.46,한식,,,,,,
336,81.89,회집,,,,,,
337,43,한식,,,,,,
338,66,한식,,,,,,
339,31.72,한식,,,,,,
340,83.7,까페,,,,,,
341,56,한식,,,,,,
342,260.85,한식,,,,,,
343,49.23,한식,,,,,,
344,165.02,한식,,,,,,
345,19,한식,,,,,,
346,24.73,통닭(치킨),,,,,,
347,35.14,한식,,,,,,
