연번,영업장면적,업태명,,,,,,감성주점
1960,79.95,회집,,,,,,
1961,42.75,호프/통닭,,,,,,
1962,71.25,한식,,,,,,
1963,34.86,호프/통닭,,,,,,
1964,91.71,경양식,,,,,,
1965,31.82,통닭(치킨),,,,,,
1966,29.67,식육(숯불구이),,,,,,
1967,83.58,일식,,,,,,
1968,47.85,식육(숯불구이),,,,,,
1969,90.72,회집,,,,,,
1970,45.84,호프/통닭,,,,,,
1971,46.94,한식,,,,,,
1972,53.05,호프/통닭,,,,,,
1973,37.74,호프/통닭,,,,,,
1974,111.74,호프/통닭,,,,,,
1975,29.4,호프/통닭,,,,,,
1976,52.28,한식,,,,,,
1977,49.5,한식,,,,,,
1978,40.46,한식,,,,,,
1979,23.48,한식,,,,,,
1980,56.4,한식,,,,,,
1981,73.8,한식,,,,,,
1982,32.76,통닭(치킨),,,,,,
1983,36.4,식육(숯불구이),,,,,,
1984,23.8,호프/통닭,,,,,,
1985,27.94,분식,,,,,,
1986,32.42,한식,,,,,,
1987,135.2,한식,,,,,,
1988,59.82,중국식,,,,,,
1989,69.76,한식,,,,,,
1990,103.21,한식,,,,,,
1991,87.25,한식,,,,,,
1992,123.48,중국식,,,,,,
1993,29.68,호프/통닭,,,,,,
1994,53.35,한식,,,,,,
1995,164.77,한식,,,,,,
1996,96.54,한식,,,,,,
1997,78.39,식육(숯불구이),,,,,,
1998,66.59,한식,,,,,,
1999,46.64,한식,,,,,,
2000,78.94,까페,,,,,,
2001,88.54,탕류(보신용),,,,,,
2002,82.15,일식,,,,,,
2003,74.4,한식,,,,,,
2004,64.63,까페,,,,,,
2005,63.25,한식,,,,,,
2006,59.27,호프/통닭,,,,,,
2007,40.85,까페,,,,,,
2008,50.41,호프/통닭,,,,,,
2009,26.57,한식,,,,,,
2010,34.79,호프/통닭,,,,,,
2011,519.96,회집,,,,,,
2012,36.49,호프/통닭,,,,,,
2013,53.56,한식,,,,,,
2014,55.02,한식,,,,,,
2015,40.4,한식,,,,,,
2016,108.6,한식,,,,,,
2017,83.24,경양식,,,,,,
2018,47.47,호프/통닭,,,,,,
2019,351.52,한식,,,,,,
2020,39.6,한식,,,,,,
2021,59.22,김밥(도시락),,,,,,
2022,158.55,호프/통닭,,,,,,
2023,41.86,호프/통닭,,,,,,
2024,106.78,회집,,,,,,
2025,121.92,한식,,,,,,
2026,83.69,경양식,,,,,,
2027,122.16,한식,,,,,,
2028,28.22,호프/통닭,,,,,,
2029,353.08,일식,,,,,,
2030,65.12,회집,,,,,,
2031,30.96,호프/통닭,,,,,,
2032,331.65,식육(숯불구이),,,,,,
2033,33.04,호프/통닭,,,,,,
2034,95.37,한식,,,,,,
2035,118.69,한식,,,,,,
2036,116,한식,,,,,,
2037,56.52,한식,,,,,,
2038,44.08,분식,,,,,,
2039,53.45,호프/통닭,,,,,,
2040,139.52,한식,,,,,,
2041,66.86,한식,,,,,,
2042,109.72,식육(숯불구이),,,,,,
2043,39.6,호프/통닭,,,,,,
2044,271,일식,,,,,,
2045,62.36,식육(숯불구이),,,,,,
2046,85,호프/통닭,,,,,,
2047,30.4,분식,,,,,,
2048,112.97,회집,,,,,,
2049,136.69,한식,,,,,,
2050,18.62,한식,,,,,,
2051,68.58,호프/통닭,,,,,,
2052,83.07,호프/통닭,,,,,,
2053,255.93,중국식,,,,,,
2054,123.66,한식,,,,,,
2055,100.58,한식,,,,,,
2056,25.9,호프/통닭,,,,,,
2057,161.8,식육(숯불구이),,,,,,
2058,79.1,호프/통닭,,,,,,
2059,83.82,까페,,,,,,
2060,31.56,한식,,,,,,
2061,104.83,한식,,,,,,
2062,61.92,까페,,,,,,
2063,35.26,통닭(치킨),,,,,,
2064,122.3,한식,,,,,,
2065,94.64,한식,,,,,,
2066,223.7,한식,,,,,,
2067,40.92,한식,,,,,,
2068,35.5,김밥(도시락),,,,,,
2069,82.95,한식,,,,,,
2070,48.85,한식,,,,,,
2071,37.62,식육(숯불구이),,,,,,
2072,51.24,한식,,,,,,
2073,139.88,경양식,,,,,,
2074,111.65,분식,,,,,,
2075,79.47,패스트푸드,,,,,,
2076,106.97,호프/통닭,,,,,,
2077,131.28,분식,,,,,,
2078,27.54,호프/통닭,,,,,,
2079,16.32,한식,,,,,,
2080,39.04,한식,,,,,,
2081,96.73,식육(숯불구이),,,,,,
2082,110.32,한식,,,,,,
2083,88.49,중국식,,,,,,
2084,47.94,식육(숯불구이),,,,,,
2085,46.8,중국식,,,,,,
2086,170.79,호프/통닭,,,,,,
2087,35.61,까페,,,,,,
2088,265.21,회집,,,,,,
2089,65.42,호프/통닭,,,,,,
2090,29.64,호프/통닭,,,,,,
2091,59.68,한식,,,,,,
2092,71.76,중국식,,,,,,
2093,220.72,호프/통닭,,,,,,
2094,119.28,한식,,,,,,
2095,110.18,식육(숯불구이),,,,,,
2096,126.69,식육(숯불구이),,,,,,
2097,293.48,한식,,,,,,
2098,90.8,식육(숯불구이),,,,,,
2099,77.14,한식,,,,,,
2100,122.72,경양식,,,,,,
2101,73.6,한식,,,,,,
2102,0,한식,,,,,,
2103,23.76,분식,,,,,,
2104,105.68,한식,,,,,,
2105,39.9,호프/통닭,,,,,,
2106,59.92,호프/통닭,,,,,,
2107,157.5,한식,,,,,,
2108,127.09,한식,,,,,,
2109,0,한식,,,,,,
2110,0,한식,,,,,,
2111,141.18,한식,,,,,,
2112,83.25,기타,,,,,,
2113,14.52,분식,,,,,,
2114,178.12,회집,,,,,,
2115,0,한식,,,,,,
2116,86.36,회집,,,,,,
2117,481.05,한식,,,,,,
2118,26.6,한식,,,,,,
2119,133.63,일식,,,,,,
2120,0,통닭(치킨),,,,,,
2121,91.52,식육(숯불구이),,,,,,
2122,35.55,호프/통닭,,,,,,
2123,45.08,한식,,,,,,
2124,76.46,탕류(보신용),,,,,,
2125,72.15,회집,,,,,,
2126,173.66,경양식,,,,,,
2127,77.76,한식,,,,,,
2128,94.62,호프/통닭,,,,,,
2129,95.87,한식,,,,,,
2130,134,한식,,,,,,
2131,126.96,한식,,,,,,
2132,80.64,한식,,,,,,
2133,38.1,한식,,,,,,
2134,176.75,기타,,,,,,
2135,47.15,중국식,,,,,,
2136,33,한식,,,,,,
2137,594,한식,,,,,,
2138,26.54,분식,,,,,,
2139,99,한식,,,,,,
2140,66.14,한식,,,,,,
2141,37.86,호프/통닭,,,,,,
2142,17.36,분식,,,,,,
2143,56.63,통닭(치킨),,,,,,
2144,441.54,식육(숯불구이),,,,,,
2145,76.15,한식,,,,,,
2146,41.85,중국식,,,,,,
2147,66.7,한식,,,,,,
2148,40.25,경양식,,,,,,
2149,148.28,한식,,,,,,
2150,172.94,한식,,,,,,
2151,107.88,한식,,,,,,
2152,48.74,한식,,,,,,
2153,117.39,한식,,,,,,
2154,69.44,호프/통닭,,,,,,
2155,40.28,통닭(치킨),,,,,,
2156,75.72,한식,,,,,,
2157,16.41,통닭(치킨),,,,,,
2158,18.92,한식,,,,,,
2159,49.54,호프/통닭,,,,,,
2160,39,호프/통닭,,,,,,
2161,122.21,일식,,,,,,
2162,63.28,한식,,,,,,
2163,33.95,분식,,,,,,
2164,95.59,호프/통닭,,,,,,
2165,60.6,한식,,,,,,
2166,46.72,분식,,,,,,
2167,92.12,한식,,,,,,
2168,69.82,호프/통닭,,,,,,
2169,219.19,한식,,,,,,
2170,64.27,까페,,,,,,
2171,49.95,한식,,,,,,
2172,108.48,한식,,,,,,
2173,135.9,회집,,,,,,
2174,89,까페,,,,,,
2175,129,회집,,,,,,
2176,72.87,한식,,,,,,
2177,121,까페,,,,,,
2178,62.73,호프/통닭,,,,,,
2179,51.3,식육(숯불구이),,,,,,
2180,212.8,한식,,,,,,
2181,101.52,회집,,,,,,
2182,110,회집,,,,,,
2183,88.94,한식,,,,,,
2184,58.98,통닭(치킨),,,,,,
2185,192.7,한식,,,,,,
2186,0,한식,,,,,,
2187,67.65,한식,,,,,,
2188,0,한식,,,,,,
2189,62.69,호프/통닭,,,,,,
2190,68.51,한식,,,,,,
2191,721,한식,,,,,,
2192,30.3,통닭(치킨),,,,,,
2193,22.44,식육(숯불구이),,,,,,
2194,28.52,한식,,,,,,
2195,62.6,회집,,,,,,
2196,174.56,한식,,,,,,
2197,68.04,호프/통닭,,,,,,
2198,65.6,한식,,,,,,
2199,35.47,한식,,,,,,
2200,172,한식,,,,,,
2201,101.91,식육(숯불구이),,,,,,
2202,105.6,한식,,,,,,
2203,64.5,한식,,,,,,
2204,120.76,일식,,,,,,
2205,35.9,호프/통닭,,,,,,
2206,16.5,호프/통닭,,,,,,
2207,28.74,까페,,,,,,
2208,94.42,한식,,,,,,
2209,31.82,호프/통닭,,,,,,
2210,29.82,경양식,,,,,,
2211,140.96,까페,,,,,,
2212,75.69,한식,,,,,,
2213,59.92,통닭(치킨),,,,,,
2214,60.37,식육(숯불구이),,,,,,
2215,33.97,통닭(치킨),,,,,,
2216,105.74,한식,,,,,,
2217,69.96,한식,,,,,,
2218,36.08,호프/통닭,,,,,,
2219,44.5,호프/통닭,,,,,,
2220,179,한식,,,,,,
2221,82.5,호프/통닭,,,,,,
2222,66,호프/통닭,,,,,,
2223,40.7,한식,,,,,,
2224,66,호프/통닭,,,,,,
2225,64.12,한식,,,,,,
2226,30.71,한식,,,,,,
2227,48.6,호프/통닭,,,,,,
2228,73.08,회집,,,,,,
2229,132,회집,,,,,,
2230,61.68,한식,,,,,,
2231,38.64,한식,,,,,,
2232,45.82,회집,,,,,,
2233,90.15,호프/통닭,,,,,,
2234,61.88,중국식,,,,,,
2235,33.59,한식,,,,,,
2236,53.48,회집,,,,,,
2237,53.48,회집,,,,,,
2238,53.48,회집,,,,,,
2239,23.04,호프/통닭,,,,,,
2240,73.06,한식,,,,,,
2241,978.9,한식,,,,,,
2242,39.41,한식,,,,,,
2243,46.42,한식,,,,,,
2244,33.44,한식,,,,,,
2245,71.98,까페,,,,,,
2246,65.66,한식,,,,,,
2247,66,경양식,,,,,,
2248,62.73,호프/통닭,,,,,,
2249,84.7,회집,,,,,,
2250,165,까페,,,,,,
2251,49.96,한식,,,,,,
2252,155.7,통닭(치킨),,,,,,
2253,848.62,한식,,,,,,
2254,353.78,경양식,,,,,,
2255,615.57,한식,,,,,,
2256,44.08,한식,,,,,,
2257,83.42,경양식,,,,,,
2258,37,한식,,,,,,
2259,78.26,식육(숯불구이),,,,,,
2260,59.65,호프/통닭,,,,,,
2261,45.09,호프/통닭,,,,,,
2262,66.95,호프/통닭,,,,,,
2263,87.4,호프/통닭,,,,,,
2264,224.6,회집,,,,,,
2265,41.25,김밥(도시락),,,,,,
2266,95.48,호프/통닭,,,,,,
2267,135.46,한식,,,,,,
2268,90.44,한식,,,,,,
2269,76.11,호프/통닭,,,,,,
2270,42.38,한식,,,,,,
2271,76.52,한식,,,,,,
2272,17.82,통닭(치킨),,,,,,
2273,53.32,호프/통닭,,,,,,
2274,10,한식,,,,,,
2275,71.01,호프/통닭,,,,,,
2276,251.46,한식,,,,,,
2277,66.88,호프/통닭,,,,,,
2278,62.9,회집,,,,,,
2279,54.45,한식,,,,,,
2280,91.2,호프/통닭,,,,,,
2281,81.28,통닭(치킨),,,,,,
2282,80.95,호프/통닭,,,,,,
2283,40.5,호프/통닭,,,,,,
2284,19.46,한식,,,,,,
2285,52.49,식육(숯불구이),,,,,,
2286,26.32,까페,,,,,,
2287,51.48,호프/통닭,,,,,,
2288,52.34,통닭(치킨),,,,,,
2289,70.9,호프/통닭,,,,,,
2290,64.65,식육(숯불구이),,,,,,
2291,34.75,호프/통닭,,,,,,
2292,33.32,호프/통닭,,,,,,
2293,51.2,한식,,,,,,
2294,85.44,분식,,,,,,
2295,36,통닭(치킨),,,,,,
2296,24,한식,,,,,,
2297,131.86,경양식,,,,,,
2298,44.16,한식,,,,,,
2299,97.96,한식,,,,,,
2300,318.45,한식,,,,,,
2301,82.24,호프/통닭,,,,,,
2302,52.44,호프/통닭,,,,,,
2303,90.38,호프/통닭,,,,,,
2304,73.44,한식,,,,,,
2305,92.4,한식,,,,,,
2306,335.14,한식,,,,,,
2307,61.96,한식,,,,,,
2308,193.02,회집,,,,,,
2309,148.5,까페,,,,,,
2310,126.65,식육(숯불구이),,,,,,
2311,237.94,까페,,,,,,
2312,40,한식,,,,,,
2313,68.15,한식,,,,,,
2314,36,한식,,,,,,
2315,106.55,탕류(보신용),,,,,,
2316,9.9,분식,,,,,,
2317,268.2,회집,,,,,,
2318,94.38,식육(숯불구이),,,,,,
2319,279.6,까페,,,,,,
2320,67.44,정종/대포집/소주방,,,,,,
2321,91.22,통닭(치킨),,,,,,
2322,122.3,한식,,,,,,
2323,907.46,한식,,,,,,
2324,89.18,한식,,,,,,
2325,44.1,한식,,,,,,
2326,22.26,호프/통닭,,,,,,
2327,80.75,식육(숯불구이),,,,,,
2328,49.4,분식,,,,,,
2329,42,호프/통닭,,,,,,
2330,54.46,한식,,,,,,
2331,67.56,한식,,,,,,
2332,38.02,한식,,,,,,
2333,189.64,한식,,,,,,
2334,113.81,식육(숯불구이),,,,,,
2335,66,한식,,,,,,
2336,118.79,회집,,,,,,
2337,52.2,호프/통닭,,,,,,
2338,31.15,한식,,,,,,
2339,111.6,기타,,,,,,
2340,124.31,호프/통닭,,,,,,
2341,111.22,까페,,,,,,
2342,113.36,까페,,,,,,
2343,80.3,식육(숯불구이),,,,,,
2344,76.83,호프/통닭,,,,,,
2345,115.36,식육(숯불구이),,,,,,
2346,41.85,호프/통닭,,,,,,
2347,13.3,한식,,,,,,
2348,42.55,한식,,,,,,
2349,146.28,한식,,,,,,
2350,97.69,호프/통닭,,,,,,
2351,41.26,한식,,,,,,
2352,98.91,한식,,,,,,
2353,64.89,한식,,,,,,
2354,153.81,호프/통닭,,,,,,
2355,61.89,까페,,,,,,
2356,309.86,다방,,,,,,
2357,229.13,까페,,,,,,
2358,64.6,호프/통닭,,,,,,
2359,126,한식,,,,,,
2360,83.15,한식,,,,,,
2361,177.75,탕류(보신용),,,,,,
2362,33,호프/통닭,,,,,,
2363,78.56,한식,,,,,,
2364,59.75,호프/통닭,,,,,,
2365,21.32,한식,,,,,,
2366,119.4,한식,,,,,,
2367,90.72,한식,,,,,,
2368,37.44,한식,,,,,,
2369,94.4,한식,,,,,,
2370,106.29,한식,,,,,,
2371,99.17,한식,,,,,,
2372,77.25,식육(숯불구이),,,,,,
2373,97.13,호프/통닭,,,,,,
2374,150.12,한식,,,,,,
2375,96.92,한식,,,,,,
2376,60.79,한식,,,,,,
2377,0,한식,,,,,,
2378,59.25,한식,,,,,,
2379,120.77,한식,,,,,,
2380,46,한식,,,,,,
2381,134.88,한식,,,,,,
2382,85.45,한식,,,,,,
2383,334.48,한식,,,,,,
2384,102.71,한식,,,,,,
2385,99.1,한식,,,,,,
2386,128.82,일식,,,,,,
2387,178.71,일식,,,,,,
2388,123.74,중국식,,,,,,
2389,61.11,한식,,,,,,
2390,167.92,한식,,,,,,
2391,228.5,한식,,,,,,
2392,74.39,한식,,,,,,
2393,27.34,분식,,,,,,
2394,58.93,통닭(치킨),,,,,,
2395,49.84,중국식,,,,,,
2396,116.49,한식,,,,,,
2397,176.58,일식,,,,,,
2398,63.78,분식,,,,,,
2399,88.88,한식,,,,,,
2400,278.06,한식,,,,,,
2401,128.85,한식,,,,,,
2402,29.6,한식,,,,,,
2403,141.96,일식,,,,,,
2404,118.8,한식,,,,,,
2405,133.2,경양식,,,,,,
2406,195.68,한식,,,,,,
2407,70.14,중국식,,,,,,
2408,39.2,중국식,,,,,,
2409,59,한식,,,,,,
2410,133.21,경양식,,,,,,
2411,89.25,한식,,,,,,
2412,29.14,한식,,,,,,
2413,75.77,한식,,,,,,
2414,167.97,한식,,,,,,
2415,22.32,한식,,,,,,
2416,49,호프/통닭,,,,,,
2417,30,호프/통닭,,,,,,
2418,98.7,식육(숯불구이),,,,,,
2419,37,한식,,,,,,
2420,142.5,한식,,,,,,
2421,49.5,통닭(치킨),,,,,,
2422,64.33,호프/통닭,,,,,,
2423,23.79,한식,,,,,,
2424,42.9,호프/통닭,,,,,,
2425,51,한식,,,,,,
2426,38.35,한식,,,,,,
2427,69.57,기타,,,,,,
2428,49.58,호프/통닭,,,,,,
2429,29.68,호프/통닭,,,,,,
2430,74.2,한식,,,,,,
2431,51.64,호프/통닭,,,,,,
2432,119.02,식육(숯불구이),,,,,,
2433,29.85,한식,,,,,,
2434,219.6,한식,,,,,,
2435,126.36,까페,,,,,,
2436,217.96,식육(숯불구이),,,,,,
2437,71.7,회집,,,,,,
2438,31.84,한식,,,,,,
2439,46.47,통닭(치킨),,,,,,
2440,40.17,통닭(치킨),,,,,,
2441,75.44,식육(숯불구이),,,,,,
2442,99,한식,,,,,,
2443,17.25,호프/통닭,,,,,,
2444,59.76,식육(숯불구이),,,,,,
2445,34.6,한식,,,,,,
2446,84,중국식,,,,,,
2447,94.56,기타,,,,,,
2448,33,한식,,,,,,
2449,44.6,한식,,,,,,
2450,100.16,한식,,,,,,
2451,55.51,기타,,,,,,
2452,24.49,식육(숯불구이),,,,,,
2453,37,중국식,,,,,,
2454,387.72,회집,,,,,,
2455,124.02,통닭(치킨),,,,,,
2456,48.4,기타,,,,,,
2457,38.22,경양식,,,,,,
2458,161.51,한식,,,,,,
2459,23.76,한식,,,,,,
2460,70.5,식육(숯불구이),,,,,,
2461,102.5,까페,,,,,,
2462,46.53,호프/통닭,,,,,,
2463,61.7,호프/통닭,,,,,,
2464,49.4,한식,,,,,,
2465,23.96,한식,,,,,,
2466,32.34,호프/통닭,,,,,,
2467,36.96,호프/통닭,,,,,,
2468,79.36,기타,,,,,,
2469,32.76,한식,,,,,,
2470,10.89,기타,,,,,,
2471,52.06,한식,,,,,,
2472,45.58,한식,,,,,,
2473,33.44,한식,,,,,,
2474,65,한식,,,,,,
2475,280.43,한식,,,,,,
2476,83.64,호프/통닭,,,,,,
2477,21.84,분식,,,,,,
2478,149,한식,,,,,,
2479,46.06,패스트푸드,,,,,,
2480,54.06,식육(숯불구이),,,,,,
2481,330.4,회집,,,,,,
2482,39.22,호프/통닭,,,,,,
2483,129.39,식육(숯불구이),,,,,,
2484,105.51,한식,,,,,,
2485,90.06,탕류(보신용),,,,,,
2486,123.15,한식,,,,,,
2487,23.4,회집,,,,,,
2488,70.55,식육(숯불구이),,,,,,
2489,46.53,한식,,,,,,
2490,63.6,호프/통닭,,,,,,
2491,29.58,호프/통닭,,,,,,
2492,700.38,한식,,,,,,
2493,223.68,일식,,,,,,
2494,156.86,회집,,,,,,
2495,49.58,호프/통닭,,,,,,
2496,92.82,기타,,,,,,
2497,74.83,한식,,,,,,
2498,131.14,한식,,,,,,
2499,185.54,일식,,,,,,
2500,129.86,한식,,,,,,
2501,125.55,호프/통닭,,,,,,
2502,26.12,호프/통닭,,,,,,
2503,236.24,식육(숯불구이),,,,,,
2504,207.03,식육(숯불구이),,,,,,
2505,38.4,한식,,,,,,
2506,56.06,식육(숯불구이),,,,,,
2507,39.45,한식,,,,,,
2508,75.46,중국식,,,,,,
2509,27.01,호프/통닭,,,,,,
2510,33.6,한식,,,,,,
2511,200.75,한식,,,,,,
2512,62.01,한식,,,,,,
2513,25.2,회집,,,,,,
2514,19.2,분식,,,,,,
2515,47.91,호프/통닭,,,,,,
2516,32.84,한식,,,,,,
2517,56.26,한식,,,,,,
2518,77.97,한식,,,,,,
2519,54.9,까페,,,,,,
2520,97.5,기타,,,,,,
2521,121.3,한식,,,,,,
2522,67.42,한식,,,,,,
2523,64.68,호프/통닭,,,,,,
2524,44.65,한식,,,,,,
2525,15.36,한식,,,,,,
2526,76,한식,,,,,,
2527,74.14,한식,,,,,,
2528,120,한식,,,,,,
2529,66,호프/통닭,,,,,,
2530,9.73,기타,,,,,,
2531,71,한식,,,,,,
2532,107,한식,,,,,,
2533,136.71,기타,,,,,,
2534,100.6,기타,,,,,,
2535,91.3,식육(숯불구이),,,,,,
2536,67.65,통닭(치킨),,,,,,
2537,79.36,한식,,,,,,
2538,63.58,호프/통닭,,,,,,
2539,193.44,통닭(치킨),,,,,,
2540,40.7,호프/통닭,,,,,,
2541,55.05,중국식,,,,,,
2542,78.11,호프/통닭,,,,,,
2543,120.12,한식,,,,,,
2544,30,한식,,,,,,
2545,43.16,한식,,,,,,
2546,36.8,한식,,,,,,
2547,44.72,호프/통닭,,,,,,
2548,145.93,한식,,,,,,
2549,39.9,호프/통닭,,,,,,
2550,289.8,일식,,,,,,
2551,32.37,호프/통닭,,,,,,
2552,80.72,회집,,,,,,
2553,23.6,한식,,,,,,
2554,144.4,한식,,,,,,
2555,147,한식,,,,,,
2556,85.47,한식,,,,,,
2557,38.61,한식,,,,,,
2558,33.84,한식,,,,,,
2559,36.9,한식,,,,,,
2560,75.72,호프/통닭,,,,,,
2561,46.2,한식,,,,,,
2562,91.84,기타,,,,,,
2563,71.79,한식,,,,,,
2564,56.4,호프/통닭,,,,,,
2565,44.72,한식,,,,,,
2566,103.94,식육(숯불구이),,,,,,
2567,58.36,한식,,,,,,
2568,173.22,호프/통닭,,,,,,
2569,14.96,식육(숯불구이),,,,,,
2570,24.82,호프/통닭,,,,,,
2571,47.37,한식,,,,,,
2572,105.07,중국식,,,,,,
2573,41.64,분식,,,,,,
2574,52,한식,,,,,,
2575,155.18,한식,,,,,,
2576,37.62,호프/통닭,,,,,,
2577,78.45,까페,,,,,,
2578,81.48,식육(숯불구이),,,,,,
2579,44.1,기타,,,,,,
2580,28.08,호프/통닭,,,,,,
2581,89.89,호프/통닭,,,,,,
2582,96.16,회집,,,,,,
2583,76.8,한식,,,,,,
2584,95.3,한식,,,,,,
2585,48.25,한식,,,,,,
2586,255.64,회집,,,,,,
2587,309.44,식육(숯불구이),,,,,,
2588,86.86,식육(숯불구이),,,,,,
2589,64,회집,,,,,,
2590,79.2,호프/통닭,,,,,,
2591,126,까페,,,,,,
2592,46.8,호프/통닭,,,,,,
2593,60.85,호프/통닭,,,,,,
2594,47.5,한식,,,,,,
2595,60.28,한식,,,,,,
2596,39.04,한식,,,,,,
2597,202.12,한식,,,,,,
2598,69.6,경양식,,,,,,
2599,179.76,식육(숯불구이),,,,,,
2600,47.89,한식,,,,,,
2601,132.18,까페,,,,,,
2602,365.01,한식,,,,,,
2603,105.95,한식,,,,,,
2604,164.22,한식,,,,,,
2605,79.33,한식,,,,,,
2606,80.52,한식,,,,,,
2607,116.4,한식,,,,,,
2608,94.6,한식,,,,,,
2609,76.3,일식,,,,,,
2610,28.12,호프/통닭,,,,,,
2611,191.88,한식,,,,,,
2612,87.83,한식,,,,,,
2613,340.13,한식,,,,,,
2614,135.45,일식,,,,,,
2615,16,회집,,,,,,
2616,98.7,경양식,,,,,,
2617,87.12,한식,,,,,,
2618,73.68,호프/통닭,,,,,,
2619,162.48,한식,,,,,,
2620,193.41,일식,,,,,,
2621,166.87,경양식,,,,,,
2622,76.16,한식,,,,,,
2623,141.96,한식,,,,,,
2624,117.62,한식,,,,,,
2625,33.65,한식,,,,,,
2626,99.2,한식,,,,,,
2627,199.98,한식,,,,,,
2628,134.4,한식,,,,,,
2629,79.3,한식,,,,,,
2630,543.75,경양식,,,,,,
2631,71.65,한식,,,,,,
2632,66.25,한식,,,,,,
2633,84.27,한식,,,,,,
2634,71.64,한식,,,,,,
2635,153,한식,,,,,,
2636,88.4,호프/통닭,,,,,,
2637,141.49,한식,,,,,,
2638,75.69,한식,,,,,,
2639,875.45,경양식,,,,,,
2640,206.74,한식,,,,,,
2641,75.69,한식,,,,,,
2642,75.69,한식,,,,,,
2643,144.2,한식,,,,,,
2644,47.12,한식,,,,,,
2645,33.28,한식,,,,,,
2646,49.5,한식,,,,,,
2647,44.52,경양식,,,,,,
2648,258.21,경양식,,,,,,
2649,101.37,한식,,,,,,
2650,480.63,한식,,,,,,
2651,15.5,일식,,,,,,
2652,94.53,한식,,,,,,
2653,97.65,호프/통닭,,,,,,
2654,121.84,경양식,,,,,,
2655,116.55,식육(숯불구이),,,,,,
2656,64.31,한식,,,,,,
2657,39.88,한식,,,,,,
2658,26.95,분식,,,,,,
2659,66,호프/통닭,,,,,,
2660,51.03,경양식,,,,,,
2661,105.45,한식,,,,,,
2662,163.08,한식,,,,,,
2663,74.25,까페,,,,,,
2664,48.52,까페,,,,,,
2665,29.6,기타,,,,,,
2666,44.8,호프/통닭,,,,,,
2667,54,한식,,,,,,
2668,79.33,식육(숯불구이),,,,,,
2669,58.76,호프/통닭,,,,,,
2670,26.4,식육(숯불구이),,,,,,
2671,56.45,호프/통닭,,,,,,
2672,185.64,회집,,,,,,
2673,40.8,식육(숯불구이),,,,,,
2674,93.5,회집,,,,,,
2675,45.6,호프/통닭,,,,,,
2676,51.79,탕류(보신용),,,,,,
2677,122,식육(숯불구이),,,,,,
2678,32.39,호프/통닭,,,,,,
2679,69.72,통닭(치킨),,,,,,
2680,52.38,호프/통닭,,,,,,
2681,32,한식,,,,,,
2682,142.17,한식,,,,,,
2683,60.99,호프/통닭,,,,,,
2684,29.23,한식,,,,,,
2685,36.04,한식,,,,,,
2686,106.4,식육(숯불구이),,,,,,
2687,88.32,호프/통닭,,,,,,
2688,50,한식,,,,,,
2689,27.82,분식,,,,,,
2690,28.5,호프/통닭,,,,,,
2691,33,통닭(치킨),,,,,,
2692,65.33,회집,,,,,,
2693,30.85,한식,,,,,,
2694,37.6,까페,,,,,,
2695,75.9,한식,,,,,,
2696,66.25,한식,,,,,,
2697,74.1,한식,,,,,,
2698,19.8,분식,,,,,,
2699,396,한식,,,,,,
2700,24.55,한식,,,,,,
2701,261.9,식육(숯불구이),,,,,,
2702,56.69,통닭(치킨),,,,,,
2703,43.12,한식,,,,,,
2704,158.94,식육(숯불구이),,,,,,
2705,62.63,호프/통닭,,,,,,
2706,92.4,한식,,,,,,
2707,94.01,한식,,,,,,
2708,143,한식,,,,,,
2709,211.44,한식,,,,,,
2710,30.98,호프/통닭,,,,,,
2711,56.05,식육(숯불구이),,,,,,
2712,53.46,기타,,,,,,
2713,51.96,한식,,,,,,
2714,41.3,한식,,,,,,
2715,66,통닭(치킨),,,,,,
2716,59.41,한식,,,,,,
2717,63.23,탕류(보신용),,,,,,
2718,81.52,한식,,,,,,
2719,82.32,기타,,,,,,
2720,79.56,한식,,,,,,
2721,41.3,호프/통닭,,,,,,
2722,13.76,분식,,,,,,
2723,61.8,분식,,,,,,
2724,21.36,탕류(보신용),,,,,,
2725,148.5,한식,,,,,,
2726,147.5,호프/통닭,,,,,,
2727,26.4,회집,,,,,,
2728,89.1,한식,,,,,,
2729,25.08,일식,,,,,,
2730,75.53,한식,,,,,,
2731,425.29,기타,,,,,,
2732,589.95,한식,,,,,,
2733,237.69,식육(숯불구이),,,,,,
2734,74.43,회집,,,,,,
2735,165,식육(숯불구이),,,,,,
2736,129.8,식육(숯불구이),,,,,,
2737,81.61,호프/통닭,,,,,,
2738,44.88,중국식,,,,,,
2739,47.7,식육(숯불구이),,,,,,
2740,150,탕류(보신용),,,,,,
2741,132,식육(숯불구이),,,,,,
2742,66,통닭(치킨),,,,,,
2743,33.76,호프/통닭,,,,,,
2744,10.51,분식,,,,,,
2745,59.41,통닭(치킨),,,,,,
2746,120,한식,,,,,,
2747,150.06,호프/통닭,,,,,,
2748,94.3,한식,,,,,,
2749,40.92,기타,,,,,,
2750,65.96,까페,,,,,,
2751,58.84,회집,,,,,,
2752,23,호프/통닭,,,,,,
2753,37.01,기타,,,,,,
2754,57.6,탕류(보신용),,,,,,
2755,64.68,한식,,,,,,
2756,85.8,호프/통닭,,,,,,
2757,88.77,탕류(보신용),,,,,,
2758,37,분식,,,,,,
2759,103.2,한식,,,,,,
2760,34.7,한식,,,,,,
2761,51.52,한식,,,,,,
2762,75.55,기타,,,,,,
2763,42.92,호프/통닭,,,,,,
