"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"안양시 만안구청",민원실과 강당과 상황실과 복도,경기도,안양시,관공서,경기도 안양시,Smart_Manan,2018-06,경기도 안양시 만안구 안양로 128(안양동 530),경기도 안양시 만안구 안양동 530번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3865526,126.9324699,2018-08-07
"안양1동 주민센터",민원실과 남자공부방과 여자공부방,경기도,안양시,관공서,경기도 안양시,anyang-1dong,2018-06,경기도 안양시 만안구 장내로 170(안양동 1383),경기도 안양시 만안구 안양동 1383번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3991342,126.9259399,2018-08-07
"안양2동 주민센터",민원실과 공부방과 교육장,경기도,안양시,관공서,경기도 안양시,anyang-2dong,2018-06,경기도 안양시 만안구 안양로384번길 50(안양동 842-2),경기도 안양시 만안구 안양동 842-2번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4050575,126.9177838,2018-08-07
"안양3동 주민센터",민원실,경기도,안양시,관공서,경기도 안양시,anyang-3dong,2018-06,경기도 안양시 만안구 양화로 28(안양동 1195-33),경기도 안양시 만안구 안양동 1195-33번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3962722,126.9147397,2018-08-07
"안양4동 주민센터",민원실과 교육장,경기도,안양시,관공서,경기도 안양시,anyang-4dong,2018-06,경기도 안양시 만안구 냉천로193번길(안양동 711-399),,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3966496,126.9183622,2018-08-07
"안양5동 주민센터",민원실과 공부방,경기도,안양시,관공서,경기도 안양시,anyang-5dong,2018-06,경기도 안양시 만안구 냉천로157번길 18(안양동 707-103),경기도 안양시 만안구 안양동 707-103번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.394341,126.9208401,2018-08-07
"안양6동 주민센터",민원실과 공부방과 작은도서관,경기도,안양시,관공서,경기도 안양시,anyang-6dong,2018-06,경기도 안양시 만안구 안양로170번길 23(안양동 437-4),경기도 안양시 만안구 안양동 437-4번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3900331,126.9305787,2018-08-07
"안양7동 주민센터",민원실과 3F 작은도서관,경기도,안양시,관공서,경기도 안양시,anyang-7dong,2018-06,경기도 안양시 만안구 덕천로 115(안양동 193-28),경기도 안양시 만안구 안양동 139-3번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914695,126.938078,2018-08-07
"안양8동 주민센터",민원실,경기도,안양시,관공서,경기도 안양시,anyang-8dong,2018-06,경기도 안양시 만안구 안양로111번길 17(안양동 572-1),경기도 안양시 만안구 안양동 572-1번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3842242,126.9321062,2018-08-07
"안양9동 주민센터",민원실,경기도,안양시,관공서,경기도 안양시,anyang-9dong,2018-06,경기도 안양시 만안구 병목안로142번길 12-9(안양동 995-27),경기도 안양시 만안구 안양동 995-27번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914885,126.908489,2018-08-07
"석수1동 주민센터",민원실과 교육장,경기도,안양시,관공서,경기도 안양시,seocksu1dong,2018-06,경기도 안양시 만안구 경수대로 1252(석수동 806),경기도 안양시 만안구 석수동 806번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4196164,126.9106328,2018-08-07
"석수2동 주민센터",민원실과 교육장,경기도,안양시,관공서,경기도 안양시,seocksu2dong,2018-06,경기도 안양시 만안구 안양로 496(석수동 279-1),경기도 안양시 만안구 석수동 279-1번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4138705,126.9093609,2018-08-07
"석수3동 주민센터",민원실,경기도,안양시,관공서,경기도 안양시,seocksu3dong,2018-06,경기도 안양시 만안구 석수동 석수로212번길 2(석수동 600-3),,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4091519,126.8951707,2018-08-07
"박달1동 주민센터",민원실과 작은도서관,경기도,안양시,관공서,경기도 안양시,bakdal-1dong,2018-06,경기도 안양시 만안구 박달1동 양화로127번길 9(박달동 50-2),경기도 안양시 만안구 박달동 50-2번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4036672,126.9091292,2018-08-07
"박달2동 주민센터",민원실,경기도,안양시,관공서,경기도 안양시,bakdal-2dong,2018-06,경기도 안양시 만안구 박달로 440(박달동 124-7),경기도 안양시 만안구 박달동 124-7번지,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4017761,126.9014289,2018-08-07
