"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"남종면 공설운동장",남종면 공설운동장,경기도,광주시,관공서,SKT,Public WiFi FREE,2015-12,경기도 광주시 남종면 산수로 1642,경기도 광주시 남종면 분원리 98-1,경기도 광주시청,02-1899-4876,37.4960515,127.3013194,2018-05-02
"밀목빌라단지앞버스정류장",밀목빌라단지앞버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 중앙로 351,경기도 광주시 송정동 426-29,경기도 광주시청,02-1899-4876,37.3874601,127.123315,2018-05-02
"삼동우남퍼스트빌앞 버스정류장",삼동우남퍼스트빌앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 고불로 464,경기도 광주시 삼동 255-1,경기도 광주시청,02-1899-4876,37.4104971,127.1993859,2018-05-02
"상현약국앞 버스정류장",상현약국앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 중앙로 88,경기도 광주시 역동 23-2,경기도 광주시청,02-1899-4876,37.407744,127.2594805,2018-05-02
"오포실내 배드민턴 체육관",오포실내 배드민턴 체육관,경기도,광주시,지역문화시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 오포읍 새말길 328,경기도 광주시 오포읍 신현리 503-5,경기도 광주시청,02-1899-4876,37.3808508,127.176027,2018-05-02
"중대물빛 공원주차장",중대물빛 공원주차장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 순암로 307,경기도 광주시 중대동 229,경기도 광주시청,02-1899-4876,37.4088101,127.2021443,2018-05-02
"청석공원",청석공원 내,경기도,광주시,기타,SKT,Public WiFi FREE,2015-12,경기도 광주시 쌍령동 480-1,경기도 광주시 쌍령동 480-1,경기도 광주시청,02-1899-4876,37.4091932,127.2678566,2018-05-02
"파리바케트앞",파리바케트앞,경기도,광주시,기타,SKT,Public WiFi FREE,2015-12,경기도 광주시 중앙로 320-1,경기도 광주시 송정동 392-4,경기도 광주시청,02-1899-4876,37.4279547,127.2582601,2018-05-02
"광주시외버스터미널",광주시외버스터미널,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 광주대로 30,경기도 광주시 경안동 25-3,경기도 광주시청,02-1899-4876,37.409522,127.2612286,2018-05-02
"경안근린공원",경안근린공원,경기도,광주시,기타,SKT,Public WiFi FREE,2015-12,경기도 광주시 경안로98번길 30,경기도 광주시 경안동 168-1,경기도 광주시청,02-1899-4876,37.4088551,127.251184,2018-05-02
"경기도립광주도서관",경기도립광주도서관,경기도,광주시,관공서,SKT,Public WiFi FREE,2015-12,경기도 광주시 경안안길58번길 3,경기도 광주시 경안동 47 번지,경기도립도서관,031-768-6921,37.4108381,127.2552863,2018-05-02
"갈마터미널앞 버스정류장",갈마터미널앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 경충대로 2197,경기도 광주시 삼동 266-18,경기도 광주시청,02-1899-4876,37.4118011,127.2005977,2018-05-02
"얼굴박물관",얼굴박물관,경기도,광주시,지역문화시설,LGU,Public WiFi FREE,2015-12,경기도 광주시 남종면 분원길 3-6,경기도 광주시 남종면 분원리 68,경기도 광주시청,02-1899-4876,37.4938155,127.3019996,2018-05-02
"경기신용보증재단 광주",경기신용보증재단 광주,경기도,광주시,기타,LGU,Public WiFi FREE,2015-12,경기도 광주시 파발로 212,경기도 광주시 탄벌동 18-4,경기도 광주시청,02-1899-4876,37.4174421,127.249161,2018-05-02
