"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"광주시 청소년수련관",수련관 내 민원인 이용 전구간,경기도,광주시,관공서,경기도 광주시청 청소년수련관,wi-Fi,2014-10,경기도 광주시 회안대로 350-17,경기도 광주시 태전동 7-10,경기도 광주시 청소년수련관,031-760-8757,37.3853852,127.235884,2018-05-02
"곤지암읍",곤지암읍사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 곤지암읍 광여로 59,경기도 광주시 곤지암읍 곤지암리 135-3,경기도 광주시청,031-760-2742,37.3509323,127.3523795,2018-05-02
"남종면",남종면사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 남종면 분원길9,경기도 광주시 남종면 분원리 132,경기도 광주시청,031-760-2742,37.4943295,127.3019442,2018-05-02
"도척면",도척면사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 도척면 노곡로 20,경기도 광주시 도척면 노곡리 58-14,경기도 광주시청,031-760-2742,37.3048033,127.3311705,2018-05-02
"경기도 광주시 대주작은도서관",대주작은도서관 내,경기도,광주시,관공서,경기도 광주시청,iptime,2015-04,경기도 광주시 오포읍 마루들길 274,경기도 광주시 오포읍 양벌리 355-1,경기도 광주시 오포도서관,031-760-5699,37.3756829,127.2616224,2018-05-02
"오포읍",오포읍사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 오포읍 오포로 859번길 29,경기도 광주시 오포읍 추자리 102-16,경기도 광주시청,031-760-2742,37.3661933,127.2285945,2018-05-02
"남한산성면",남한산성면사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 남한산성면 남한산성로2,경기도 광주시 남한산성면 광지원리 112,경기도 광주시청,031-760-2742,37.4633817,127.2442808,2018-05-02
"상하수도사업소",상하수도사업소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,경기도 광주시청,031-760-2742,37.416824,127.2564381,2018-05-02
"경안동",경안동사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 중앙로 197-1,경기도 광주시 송정동 120-74,경기도 광주시청,031-760-2742,37.4169915,127.255675,2018-05-02
"초월읍",초월읍사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 초월읍 경충대로 1241,경기도 광주시 초월읍 대쌍령리 211-2,경기도 광주시청,031-760-2742,37.3852447,127.2879427,2018-05-02
"경기도 광주시 초월도서관",초월도서관방 내,경기도,광주시,관공서,경기도 광주시청,chowol_lib,2012-12,경기도 광주시 초월읍 무들로3-26,경기도 광주시 초월읍 대쌍령리 253-15,경기도 광주시 초월도서관,031-760-8603,37.3873199,127.2911801,2018-05-02
"송정동",송정동사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 탄벌길6,경기도 광주시 탄벌동 717-5,경기도 광주시청,031-760-2742,37.4197148,127.246091,2018-05-02
"광남동",광남동사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 태봉로45,경기도 광주시 태전동 249-2,경기도 광주시청,031-760-2742,37.3890482,127.2297796,2018-05-02
"경기도 광주시 퇴촌작은도서관",퇴촌작은도서관 내,경기도,광주시,관공서,경기도 광주시청,NESPOT,2012-02,경기도 광주시 퇴촌면 광동로 57-2,경기도 광주시 퇴촌면 광동리 244-1,경기도 광주시 시립도서관,031-760-5682,37.4705926,127.3092192,2018-05-02
"퇴촌면",퇴촌면사무소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 퇴촌면 탑골길6,경기도 광주시 퇴촌면 광동리 327-1,경기도 광주시청,031-760-2742,37.466904,127.3071241,2018-05-02
"보건소",광주시 보건소,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 파발로 194,경기도 광주시 경안동 115,경기도 광주시청,031-760-2742,37.4164326,127.2507208,2018-05-02
"공설운동장",광주시 공설운동장,경기도,광주시,관공서,경기도 광주시청,Free_gjcity,2015-03,경기도 광주시 파발로 176,경기도 광주시 경안동 120-1,경기도 광주시청,031-760-2742,37.4149455,127.2517686,2018-05-02
"차량등록사업소",차량등록사업소 1층,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 포은대로 692-6,경기도 광주시 장지동 214-7,경기도 광주시청,031-760-2742,37.3871883,127.2459575,2018-05-02
"광주시청",시청 민원실,경기도,광주시,관공서,경기도 광주시청,Free_gjcity,2014-05,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570,경기도 광주시청,031-760-2742,37.4292862,127.2550751,2018-05-02
"농업기술센터",농업기술센터 내,경기도,광주시,관공서,경기도 광주시청,Public WiFi FREE,2015-12,경기도 광주시 이배재로 209-5,경기도 광주시 목현동 42-1,경기도 광주시청,031-760-2742,37.43195889,127.234347,2018-05-02
"경기도 광주시 곤지암도서관",곤지암도서관 내,경기도,광주시,관공서,"SKT,경기도 광주시청","T WiFi zone, Gjcity_lib",2015-12,경기도 광주시 곤지암읍 곤지암로 11번지길 47,경기도 광주시 곤지암읍 곤지암리 340-2,경기도 광주시 곤지암도서관,031-760-5668,37.3486821,127.3454618,2018-05-02
"경기도 광주시 오포도서관",오포도서관 내,경기도,광주시,관공서,"SKT,경기도 광주시청","T WiFi zone, Public WiFi FREE, Gjcity_lib",2015-12,경기도 광주시 오포읍 오포로 885,경기도 광주시 오포읍 고산리 253-3,경기도 광주시 오포도서관,031-760-5699,37.3693234,127.2314173,2018-05-02
"경기도 광주시 시립도서관",시립도서관 내,경기도,광주시,관공서,"SKT,LGU+,경기도 광주시청","OllehWiFi, U+zone, Free U+zone, Public WiFi FREE, T WiFi zone, Kwangju_lib",2015-12,경기도 광주시 문화로 82,경기도 광주시 경안동 161-24,경기도 광주시 시립도서관,031-760-5682,37.4105355,127.2528066,2018-05-02
"광주시 문화스포츠센터",문화스포츠센터 내,경기도,광주시,관공서,광주도시관리공사,wi-fi,2016-08,경기도 광주시 회안대로 891,경기도 광주시 송정동 340-1,광주도시관리공사,031-760-4480,37.42691668,127.2547247,2018-05-02
"경안동 우체국",경안동 우체국,경기도,광주시,관공서,SKT,Public WiFi FREE,2015-12,경기도 광주시 중앙로 123,경기도 광주시 경안동 53-7,경기도 광주시청,02-1899-4876,37.4104158,127.2576152,2018-05-02
"경안천 생태습지공원",경안천 생태습지공원,경기도,광주시,기타,SKT,Public WiFi FREE,2015-12,경기도 광주시 퇴촌면 산수로 1178,경기도 광주시 퇴촌면 정지리 477-1,경기도 광주시청,02-1899-4876,37.6003431,126.9041086,2018-05-02
"곤지암 버스터미널앞 버스정류장",곤지암 버스터미널앞 버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 곤지암읍 곤지암로 44,경기도 광주시 곤지암읍 곤지암리 435-19,경기도 광주시청,02-1899-4876,37.349976,127.3418396,2018-05-02
"광주 농협 쌍령리점",광주 농협 쌍령리점,경기도,광주시,기타,SKT,Public WiFi FREE,2015-12,경기도 광주시 경충대로 1428-15,경기도 광주시 쌍령동 413-30,경기도 광주시청,02-1899-4876,37.3982323,127.2750463,2018-05-02
"광주 전통시장",광주 전통시장,경기도,광주시,지역문화시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 경안로25번길 8,경기도 광주시 경안동 33-47,경기도 광주시청,02-1899-4876,37.4091583,127.2574073,2018-05-02
"광주농업기술센터",광주농업기술센터,경기도,광주시,관공서,SKT,Public WiFi FREE,2015-12,경기도 광주시 이배재로 209-5,경기도 광주시 목현동 42-1,경기도 광주시청,02-1899-4876,37.4315438,127.2343864,2018-05-02
"구청사 앞버스정류장",구청사 앞버스정류장,경기도,광주시,교통시설,SKT,Public WiFi FREE,2015-12,경기도 광주시 중앙로 197,경기도 광주시 송정동 120-8,경기도 광주시청,02-1899-4876,37.4174833,127.2563886,2018-05-02
