"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"포천시의회",포천시의회 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제2별관 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제2별관 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제2별관 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제3별관 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제3별관 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제3별관 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",재난상황실,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",수도사업소 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",수도사업소 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",수도사업소 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",수도사업소 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",본관 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",본관 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",본관 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",본관 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",본관 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제1별관 1층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제1별관 2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제1별관2층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제1별관 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
"포천시청",제1별관 3층,경기도,포천시,관공서,KT,NESPOT ollleh WiFi,2017-11,경기도 포천시  중앙로 87,경기도 포천시 신읍동 58-2,경기도 포천시청,031-538-2301,37.894599,127.200179,2018-08-20
