"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"경기평생교육학습관",실내,경기도,수원시,교육시설,LGU+,Public WiFi Free,2013-03,경기도 수원시 권선구 권중로 55(권선동),경기도 수원시 권선구 권선동 1234,경기도 수원시청,031-228-2299,37.2522991,127.0321608,2018-02-28
"경기도립중앙도서관",실내,경기도,수원시,교육시설,SKT,Public WiFi Free,2013-03,경기도 수원시 장안구 조원로 18(조원동),경기도 수원시 장안구 조원동 495,경기도 수원시청,031-228-2299,37.2985428,127.0223635,2018-02-28
"선경도서관",실내,경기도,수원시,교육시설,SKT,Public WiFi Free,2013-03,경기도 수원시 팔달구 신풍로 23번길 68(신풍동),경기도 수원시 팔달구 구운동 925,경기도 수원시청,031-228-2299,37.2838611,127.0104331,2018-02-28
"서수원지식정보도서관",실내,경기도,수원시,교육시설,SKT,Public WiFi Free,2013-03,경기도 수원시 권선구 탑동로 57번길 35(탑동),경기도 수원시 권선구 탑동 746-1,경기도 수원시청,031-228-2299,37.2731179,126.9720697,2018-02-28
"북수원지식정보도서관",실내,경기도,수원시,교육시설,KT,T Free WiFi Zone,2013-03,경기도 수원시 장안구 만석로 65 (정자동),경기도 수원시 장안구 정자동 869-1,경기도 수원시청,031-228-2299,37.2976649,126.9883063,2018-02-28
"한국방송통신대학교 경기지역대학",실내,경기도,수원시,교육시설,LGU+,Public WiFi Free,2013-03,경기도 수원시 권선구 효행로 28(오목천동),경기도 수원시 권선구 오목천동 399,경기도 수원시청,031-228-2299,37.2407519,126.958242,2018-02-28
"영통도서관",실내,경기도,수원시,교육시설,LGU+,Public WiFi Free,2013-03,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시 영통구 영통동 912-2,경기도 수원시청,031-228-2299,37.2571869,127.0720587,2018-02-28
"수원시휴먼서비스센터",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 권선로 768(권선동),경기도 수원시 권선구 권선동 1166번지,경기도 수원시청,031-228-2299,37.2565946,127.0348229,2018-02-28
"수원시오목천동장애인주간보호시설",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 서수원로 124(오목천동),경기도 수원시 권선구 오목천동 197번지,경기도 수원시청,031-228-2299,37.2388855,126.9722446,2018-02-28
"수원권선지역아동센터",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 세지로112번길 25-22(권선동),경기도 수원시 권선구 권선동 954-1,경기도 수원시청,031-228-2299,37.2622419,127.0212209,2018-02-28
"호매실장애인종합복지관",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 호매실로 211(호매실동),경기도 수원시 권선구 호매실동 1385번지,경기도 수원시청,031-228-2299,37.2631694,126.9566874,2018-02-28
"경기도장애인자립생활센터협의회 수원시지부",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 장안구 수성로 308(영화동),경기도 수원시 장안구 영화동 389-2번지,경기도 수원시청,031-228-2299,37.2912932,127.0059591,2018-02-28
"수원시장애인심부름센터",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 호매실로 211(호매실동),경기도 수원시 권선구 호매실동 1385번지,경기도 수원시청,031-228-2299,37.2631694,126.9566874,2018-02-28
"수원화성 화홍문",문화재,경기도,수원시,지역문화시설,KT,PublicWiFi@Suwon,2016-05,,경기도 수원시 팔달구 북수동 9000-1,경기도 수원시청,031-228-2299,37.2875761,127.0176374,2018-02-28
"수원화성 방화수류정",문화재,경기도,수원시,지역문화시설,KT,PublicWiFi@Suwon,2016-05,경기도 수원시 팔달구 수원천로392번길 44-6,경기도 수원시 팔달구 매향동 151번지,경기도 수원시청,031-228-2299,37.287541,127.018093,2018-02-28
"수원화성 용연",문화재,경기도,수원시,지역문화시설,KT,PublicWiFi@Suwon,2016-05,,경기도 수원시 장안구 연무동 190,경기도 수원시청,031-228-2299,37.287886,127.0183862,2018-02-28
"한국장애인교육문화협회 수원시지회",실내,경기도,수원시,서민·복지시설,KT,Public WiFi Free,2015-05,경기도 수원시 영통구 매탄로 53-1(매탄동),경기도 수원시 영통구 매탄동 1169-4번지,경기도 수원시청,031-228-2299,37.2561566,127.0405717,2018-02-28
"수원버스터미널",정류장,경기도,수원시,교통시설,KT,Public WiFi Free,2015-05,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선동 1189,경기도 수원시청,031-228-2299,37.2513755,127.0204423,2018-02-28
"장안지하차도 수원KT위즈파크",정류장,경기도,수원시,교통시설,KT,Public WiFi Free,2015-05,경기도 수원시 장안구 경수대로 893 수원종합운동장,경기도 수원시 장안구 조원동 775,경기도 수원시청,031-228-2299,37.2986095,127.0075568,2018-02-28
