"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"과천시 갈현동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2017-04,경기도 과천시 중앙로 28(갈현동),경기도 과천시 갈현동 679,과천시청,02-3677-2301,37.4193613,126.9891189,2018-07-31
"과천시 과천동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 과천대로 608-17(과천동),경기도 과천시 과천동 538-1,과천시청,02-3677-2301,37.4483745,126.9953936,2018-07-31
"과천시 문원동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 아랫배랭이로 35(문원동),경기도 과천시 문원동 187-1,과천시청,02-3677-2301,37.4264042,127.0018984,2018-07-31
"과천시 별양동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 별양로 60(별양동),경기도 과천시 별양동 12,과천시청,02-3677-2301,37.4241695,126.9937186,2018-07-31
"과천시 중앙동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 136(중앙동),경기도 과천시 중앙동 68,과천시청,02-3677-2301,37.4330307,126.9933653,2018-07-31
"과천시청","민원실, 복도",경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 69(중앙동),경기도 과천시 중앙동 1-3,과천시청,02-3677-2301,37.4294059,126.9880604,2018-07-31
"과천시 청소년수련관",복도,경기도,과천시,교육시설,KT,Public WiFi free,2015-11,경기도 과천시 참마을로 9(문원동),경기도 과천시 문원동 199,과천시청,02-3677-2301,37.4265839,127.0015662,2018-07-31
"과천시 추사박물관","전시실, 복도",경기도,과천시,관광,KT,Public WiFi free,2015-11,경기도 과천시 추사로 78(주암동),경기도 과천시 주암동 184-2,과천시청,02-3677-2301,37.4531539,127.0289295,2018-07-31
"과천시 장애인복지관",복도,경기도,과천시,서민·복지시설,KT,Public WiFi free,2015-11,경기도 과천시 문원로 40(문원동),경기도 과천시 문원동 31-3,과천시청,02-3677-2301,37.4293516,127.0021252,2018-07-31
"과천시 노인복지관",복도,경기도,과천시,서민·복지시설,KT,Public WiFi free,2015-11,경기도 과천시 문원로 57(문원동),경기도 과천시 문원동 15-168,과천시청,02-3677-2301,37.4282428,127.0041803,2018-07-31
"과천시 새서울쇼핑(옥내)",상가내 복도,경기도,과천시,기타,KT,Public WiFi free,2015-11,경기도 과천시 별양상가2로 20(별양동),경기도 과천시 별양동 1-18,과천시청,02-3677-2301,37.4269875,126.9924903,2018-07-31
"관문체육공원(관문체육관)",체육관내,경기도,과천시,지역문화시설,KT,Public WiFi free,2015-11,경기도 과천시 중앙로 294(관문동),경기도 과천시 관문동 3,과천시청,02-3677-2301,37.4415112,126.9976805,2018-07-31
"과천시 정보과학도서관",열람실,경기도,과천시,교육시설,과천시,GC_LIB,2015-11,경기도 과천시 중앙로 24(갈현동),경기도 과천시 갈현동 677,과천시 정보과학도서관,02-2150-3024,37.4187454,126.9897174,2018-07-31
"과천시 부림동주민센터",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 별양로 174(부림동),경기도 과천시 부림동 47,과천시청,02-3677-2301,37.4334614,126.9985402,2018-07-31
"과천시 시민회관",민원실,경기도,과천시,지역문화시설,KT,Public WiFi free,2015-11,경기도 과천시 통영로  5(중앙동),경기도 과천시 중앙동 6-2,과천시청,02-3677-2301,37.4281913,126.9891538,2018-07-31
"과천시 보건소",민원실,경기도,과천시,관공서,KT,Public WiFi free,2015-11,경기도 과천시 관문로 69(중앙동),경기도 과천시 중앙동 1-3,과천시청,02-3677-2301,37.4302022,126.9867944,2018-07-31
