"전라남도",무안군,2,-
"전라남도",함평군,3,3
"전라남도",영광군,2,1
"전라남도",장성군,-,-
"전라남도",완도군,4,1
"전라남도",진도군,1,-
"전라남도",신안군,9,-
"경상북도",소계,57,23
"경상북도",포항시,12,3
"경상북도",경주시,9,3
"경상북도",김천시,1,0
"경상북도",안동시,5,3
"경상북도",구미시,3,4
"경상북도",영주시,2,1
"경상북도",영천시,2,1
"경상북도",상주시,1,1
"경상북도",문경시,1,1
"경상북도",경산시,1,0
"경상북도",군위군,2,0
"경상북도",의성군,0,2
"경상북도",청송군,2,0
"경상북도",영양군,1,0
"경상북도",영덕군,4,1
"경상북도",청도군,0,0
"경상북도",고령군,3,0
"경상북도",성주군,0,1
"경상북도",칠곡군,1,1
"경상북도",예천군,2,1
"경상북도",봉화군,1,0
"경상북도",울진군,3,0
"경상북도",울릉군,1,0
"경상남도",소계,146,24
"경상남도",창원시,23,8
"경상남도",진주시,5,-
"경상남도",통영시,4,1
"경상남도",사천시,4,1
"경상남도",김해시,7,6
"경상남도",밀양시,2,1
"경상남도",거제시,5,1
"경상남도",양산시,8,-
"경상남도",의령군,10,1
"경상남도",함안군,15,1
"경상남도",창녕군,7,1
"경상남도",고성군,3,-
"경상남도",남해군,13,1
"경상남도",하동군,6,-
"경상남도",산청군,8,-
"경상남도",함양군,4,-
"경상남도",거창군,3,-
"경상남도",합천군,19,2
"제주특별자치도",소계,18,3
"제주특별자치도",제주시,9,1
"제주특별자치도",서귀포시,9,2
