년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2016,5,(가칭)역세3초등학교,예비인증,제586호,16.02.25.~21.02.24.,우수,경기도 ,광명시,공공
2016,6,반구공영주차장,예비인증,제584호,16.03.17.～21.03.16.,우수,울산광역시,중구,공공
2016,7,경기서부융복합지원센터,예비인증,제586호,16.03.17.～21.03.16.,우수,경기도,시흥시,공공
2016,8,평택시 농업체험장,예비인증,제599호,16.03.30.～21.03.29.,우수,경기도,평택시,공공
2016,9,기형도 문학관,예비인증,제574호,16.03.11.～21.03.10.,우수,경기도,광명시,공공
2016,10,조동8리 경로당,예비인증,제573호,16.03.11.～21.03.10.,우수,강원도,정선군,공공
2016,11,명월공원 공중화장실,예비인증,제601호,16.03.30.～21.03.29.,우수,인천광역시,부평구,공공
2016,12,중왕리 선착장 공중화장실,예비인증,제600호,16.03.30.～21.03.29.,우수,충청남도,서산시,공공
2016,13,성골롬반복지재단 직업훈련소,예비인증,제630호,16.04.20.～21.04.19.,우수,전라남도,목포시,민간
2016,14,봉산동 주민센터,예비인증,제629호,16.04.20.～21.04.19.,우수,강원도,원주시,공공
2016,15,송정동 주민센터,예비인증,제651호,16.05.10.～21.05.09.,일반,경상북도,구미시,공공
2016,16,향남읍 도이리 캠핑장,예비인증,제652호,16.05.10.～21.05.09.,우수,경기도,화성시,공공
2016,17,㈜백양실업(사무동 다목적강당 식당 기숙사),예비인증,제649호,16.05.10.～21.05.09.,우수,전라남도,장성군,민간
2016,18,점동도서관,예비인증,제650호,'16.05.10.～'21.05.09.,우수,경기도,여주시,공공
2016,19,진잠건강생활지원센터,예비인증,제683호,'16.06.01.～'21.05.31.,우수,대전광역시,유성구,공공
2016,20,나라키움 중부세무서,예비인증,제684호,'16.06.01.～'21.05.31.,우수,서울특별시,중구,공공
2016,21,구미인동우체국,예비인증,제687호,'16.06.09.～'21.06.08.,우수,경상북도,구미시,공공
2016,22,태안도서관,예비인증,제688호,'16.06.09.～'21.06.08.,우수,경기도,화성시,공공
2016,23,군산시 자원봉사센터,예비인증,제689호,'16.06.09.～'21.06.08.,우수,전라북도,군산시,공공
2016,24,㈜유진택시,본인증,제254호,16.06.16.～21.06.15.,우수,대전광역시,서구,민간
2016,25,추자면 종합복지회관,예비인증,제721호,16.06.27.～'21.06.26.,우수,제주특별자치도,제주시,공공
2016,26,나라키움 신사동빌딩,예비인증,제722호,'16.06.27.～'21.06.26.,우수,서울특별시,강남구,공공
2016,27,성동구 보건소 금호분소,예비인증,제723호,'16.06.27.～'21.06.26.,우수,서울특별시,성동구,공공
2016,28,아산소방서,예비인증,제724호,'16.06.27.～'21.06.26.,우수,충청남도,아산시,공공
